Male,Female,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block_male.started,MAN.started,WOMAN.started,Mname.started,key_resp.started,training_block_male.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,training_block_female.started,MAN_2.started,WOMAN_2.started,Fname.started,key_resp_2.started,training_block_female.stopped,training.key_resp_2.keys,training.key_resp_2.rt,training.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
นเรศ,พิมพ์ใจ,0,0,0,j,1.4339223999995738,None,k,0.3522125999443233,None,0,0,0,1,0.029631600016728044,,0.022909700055606663,0.029631600016728044,0.029631600016728044,0.029631600016728044,0.029631600016728044,1.4803136000409722,j,1.4339223999995738,None,1.5007737000705674,1.5095201999647543,1.5095201999647543,1.5095201999647543,1.5095201999647543,1.877169799990952,k,0.3522125999443233,None,850100,001,2025-09-25_14h57.25.894,Priming_gender,,2025.1.1,60.068935117368746,2025-09-25 14h57.28.186370 +0700,
พิสิฐ,ปัทมา,1,1,0,k,0.21996590006165206,None,k,0.15691380004864186,None,0,1,1,9,1.8932403000071645,,1.8851924000773579,1.8932403000071645,1.8932403000071645,1.8932403000071645,1.8932403000071645,2.126605199999176,k,0.21996590006165206,None,2.140324200037867,2.1476145000196993,2.1476145000196993,2.1476145000196993,2.1476145000196993,2.30945800000336,k,0.15691380004864186,None,850100,001,2025-09-25_14h57.25.894,Priming_gender,,2025.1.1,60.068935117368746,2025-09-25 14h57.28.186370 +0700,
ภูมิพัฒน์,จิตติมา,2,2,0,k,0.1915175000904128,None,j,0.1492410000646487,None,0,2,2,6,2.32686949998606,,2.31925980001688,2.32686949998606,2.32686949998606,2.32686949998606,2.32686949998606,2.5270693000638857,k,0.1915175000904128,None,2.531391100026667,2.543388699996285,2.543388699996285,2.543388699996285,2.543388699996285,2.693669700063765,j,0.1492410000646487,None,850100,001,2025-09-25_14h57.25.894,Priming_gender,,2025.1.1,60.068935117368746,2025-09-25 14h57.28.186370 +0700,
อรรถพล,สุพัตรา,3,3,0,j,0.1594141999958083,None,k,0.1220958000048995,None,0,3,3,3,2.7127227999735624,,2.704908600077033,2.7127227999735624,2.7127227999735624,2.7127227999735624,2.7127227999735624,2.8767694999696687,j,0.1594141999958083,None,2.8812064999947324,2.894968800013885,2.894968800013885,2.894968800013885,2.894968800013885,3.0267638000659645,k,0.1220958000048995,None,850100,001,2025-09-25_14h57.25.894,Priming_gender,,2025.1.1,60.068935117368746,2025-09-25 14h57.28.186370 +0700,
ชัยวัฒน์,ศิริพร,4,4,0,j,0.15560830000322312,None,k,0.11676509992685169,None,0,4,4,4,3.045632899971679,,3.0377424000762403,3.045632899971679,3.045632899971679,3.045632899971679,3.045632899971679,3.21005580003839,j,0.15560830000322312,None,3.210532300057821,3.2265770999947563,3.2265770999947563,3.2265770999947563,3.2265770999947563,3.3439368000254035,k,0.11676509992685169,None,850100,001,2025-09-25_14h57.25.894,Priming_gender,,2025.1.1,60.068935117368746,2025-09-25 14h57.28.186370 +0700,
ธนพล,วาสนา,5,5,0,j,0.09086750005371869,None,k,0.09255699999630451,None,0,5,5,2,3.360264000017196,,3.3482951000332832,3.360264000017196,3.360264000017196,3.360264000017196,3.360264000017196,3.459087199997157,j,0.09086750005371869,None,3.4596965999808162,3.4767714000772685,3.4767714000772685,3.4767714000772685,3.4767714000772685,3.577003800077364,k,0.09255699999630451,None,850100,001,2025-09-25_14h57.25.894,Priming_gender,,2025.1.1,60.068935117368746,2025-09-25 14h57.28.186370 +0700,
ปริญญา,อาภรณ์,6,6,0,j,0.05320570000912994,None,k,0.08556869998574257,None,0,6,6,5,3.593519699992612,,3.5815233000321314,3.593519699992612,3.593519699992612,3.593519699992612,3.593519699992612,3.660340500064194,j,0.05320570000912994,None,3.6652671999763697,3.6766817000461742,3.6766817000461742,3.6766817000461742,3.6766817000461742,3.776505000074394,k,0.08556869998574257,None,850100,001,2025-09-25_14h57.25.894,Priming_gender,,2025.1.1,60.068935117368746,2025-09-25 14h57.28.186370 +0700,
ศักดิ์สิทธิ์,สุนิสา,7,7,0,j,0.0351852000458166,None,k,0.076288599986583,None,0,7,7,8,3.7933320000302047,,3.785336700035259,3.7933320000302047,3.7933320000302047,3.7933320000302047,3.7933320000302047,3.844514500000514,j,0.0351852000458166,None,3.8449713999871165,3.8593080000719056,3.8593080000719056,3.8593080000719056,3.8593080000719056,3.9438652000389993,k,0.076288599986583,None,850100,001,2025-09-25_14h57.25.894,Priming_gender,,2025.1.1,60.068935117368746,2025-09-25 14h57.28.186370 +0700,
วรพล,วรรณา,8,8,0,j,0.056328299921005964,None,k,0.06745399988722056,None,0,8,8,7,3.9587217000080273,,3.9448224999941885,3.9587217000080273,3.9587217000080273,3.9587217000080273,3.9587217000080273,4.027634400059469,j,0.056328299921005964,None,4.0280931000597775,4.042158200056292,4.042158200056292,4.042158200056292,4.042158200056292,4.110821500071324,k,0.06745399988722056,None,850100,001,2025-09-25_14h57.25.894,Priming_gender,,2025.1.1,60.068935117368746,2025-09-25 14h57.28.186370 +0700,
กฤษณะ,กาญจนา,9,9,0,j,0.06522200000472367,None,k,0.07503089995589107,None,0,9,9,0,4.130291200010106,,4.121324400068261,4.130291200010106,4.130291200010106,4.130291200010106,4.130291200010106,4.209421999985352,j,0.06522200000472367,None,4.209876500070095,4.226322500035167,4.226322500035167,4.226322500035167,4.226322500035167,4.310193400015123,k,0.07503089995589107,None,850100,001,2025-09-25_14h57.25.894,Priming_gender,,2025.1.1,60.068935117368746,2025-09-25 14h57.28.186370 +0700,
