Male,Female,Image,Name,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block_male.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block_male.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
None,None,None,ศิริพร,0,0,0,j,0.4491347000002861,None,0,0,0,14,0.012700200080871582,,0.008440500008873641,0.012700200080871582,0.012700200080871582,0.012700200080871582,0.012700200080871582,0.4794679000042379,j,0.4491347000002861,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
อรรถพล,สุพัตรา,None,อรรถพล,1,1,0,k,0.8210077000549063,None,0,1,1,3,0.49295980005990714,,0.47975810000207275,0.49295980005990714,0.49295980005990714,0.49295980005990714,0.49295980005990714,1.3261253000237048,k,0.8210077000549063,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
None,None,None,วรรณา,2,2,0,k,0.2740219000261277,None,0,2,2,17,1.3416093999985605,,1.3264323000330478,1.3416093999985605,1.3416093999985605,1.3416093999985605,1.3416093999985605,1.6259228000417352,k,0.2740219000261277,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
วรพล,วรรณา,None,วรพล,3,3,0,k,0.15044329990632832,None,0,3,3,7,1.642168699996546,,1.6264595000538975,1.642168699996546,1.642168699996546,1.642168699996546,1.642168699996546,1.8095002000918612,k,0.15044329990632832,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
None,None,None,กาญจนา,4,4,0,j,0.12359039997681975,None,0,4,4,10,1.8250276000471786,,1.8099903999827802,1.8250276000471786,1.8250276000471786,1.8250276000471786,1.8250276000471786,1.9577502000611275,j,0.12359039997681975,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
None,None,None,สุนิสา,5,5,0,k,0.12456460006069392,None,0,5,5,18,1.9755056999856606,,1.9580369000323117,1.9755056999856606,1.9755056999856606,1.9755056999856606,1.9755056999856606,2.1089706000639126,k,0.12456460006069392,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
None,None,None,พิมพ์ใจ,6,6,0,j,0.05793510004878044,None,0,6,6,11,2.124788900022395,,2.109269200009294,2.124788900022395,2.124788900022395,2.124788900022395,2.124788900022395,2.192143800086342,j,0.05793510004878044,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
None,None,None,จิตติมา,7,7,0,k,0.08606240001972765,None,0,7,7,16,2.2081744000315666,,2.1926499999826774,2.2081744000315666,2.2081744000315666,2.2081744000315666,2.2081744000315666,2.3091205999953672,k,0.08606240001972765,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
None,None,None,วาสนา,8,8,0,j,0.047785499948076904,None,0,8,8,12,2.3266281000105664,,2.3094162000343204,2.3266281000105664,2.3266281000105664,2.3266281000105664,2.3266281000105664,2.3757234000368044,j,0.047785499948076904,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
None,None,None,สุพัตรา,9,9,0,k,0.08449100004509091,None,0,9,9,13,2.392360500060022,,2.3761165000032634,2.392360500060022,2.392360500060022,2.392360500060022,2.392360500060022,2.4928809000412,k,0.08449100004509091,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
ศักดิ์สิทธิ์,สุนิสา,None,ศักดิ์สิทธิ์,10,10,0,j,0.04569069994613528,None,0,10,10,8,2.5075004000682384,,2.493421900086105,2.5075004000682384,2.5075004000682384,2.5075004000682384,2.5075004000682384,2.559358200058341,j,0.04569069994613528,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
พิสิฐ,ปัทมา,None,พิสิฐ,11,11,0,k,0.08577769994735718,None,0,11,11,9,2.5750385000137612,,2.5596595000242814,2.5750385000137612,2.5750385000137612,2.5750385000137612,2.5750385000137612,2.6752896000398323,k,0.08577769994735718,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
ปริญญา,อาภรณ์,None,ปริญญา,12,12,0,j,0.04029359994456172,None,0,12,12,5,2.6917004000861198,,2.675770799978636,2.6917004000861198,2.6917004000861198,2.6917004000861198,2.6917004000861198,2.741943300003186,j,0.04029359994456172,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
None,None,None,ปัทมา,13,13,0,k,0.07967200002167374,None,0,13,13,19,2.7583857000572607,,2.742361200042069,2.7583857000572607,2.7583857000572607,2.7583857000572607,2.7583857000572607,2.8416800000704825,k,0.07967200002167374,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
ธนพล,วาสนา,None,ธนพล,14,14,0,j,0.06131310004275292,None,0,14,14,2,2.858257899992168,,2.8419521000469103,2.858257899992168,2.858257899992168,2.858257899992168,2.858257899992168,2.9257447000127286,j,0.06131310004275292,None,430656,001,2025-09-25_15h26.08.668,Priming_gender,,2025.1.1,60.046896633846146,2025-09-25 15h26.10.992745 +0700,
