thisRow.t,notes,Name,Face,NameGender,ResponseKey,RT,Timeout,participant,session,
,,ทับทิม,face2_w.png,f,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face2_w.png,f,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face7_w.png,f,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face1_m.png,f,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face6_w.png,f,j,None,Yes,testwoi,001,
,,มานะ,face1_w.png,m,j,None,Yes,testwoi,001,
,,ประเสริฐ,face4_w.png,m,j,None,Yes,testwoi,001,
,,แก้วตา,face9_m.png,f,j,None,Yes,testwoi,001,
,,สมชาย,face2_m.png,m,j,None,Yes,testwoi,001,
,,มั่นคง,face9_w.png,m,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face2_m.png,f,j,None,Yes,testwoi,001,
,,แก้วตา,face1_w.png,f,j,None,Yes,testwoi,001,
,,สมหญิง,face3_w.png,f,j,None,Yes,testwoi,001,
,,แก้วตา,face3_m.png,f,j,None,Yes,testwoi,001,
,,สมหมาย,face10_w.png,m,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face1_m.png,f,j,None,Yes,testwoi,001,
,,สมชาย,face6_m.png,m,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face3_m.png,f,j,None,Yes,testwoi,001,
,,ประเสริฐ,face7_m.png,m,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face5_m.png,f,j,None,Yes,testwoi,001,
,,ประทีป,face2_m.png,m,j,None,Yes,testwoi,001,
,,สายใจ,face8_m.png,f,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face4_w.png,m,j,None,Yes,testwoi,001,
,,ประเสริฐ,face10_w.png,m,j,None,Yes,testwoi,001,
,,มานะ,face2_w.png,m,j,None,Yes,testwoi,001,
,,พอใจ,face7_w.png,f,j,None,Yes,testwoi,001,
,,สมหญิง,face5_w.png,f,j,None,Yes,testwoi,001,
,,สมปอง,face7_w.png,m,j,None,Yes,testwoi,001,
,,พิกุล,face7_w.png,f,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face10_m.png,m,j,None,Yes,testwoi,001,
,,ประทีป,face6_w.png,m,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face8_w.png,f,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face10_w.png,f,j,None,Yes,testwoi,001,
,,พิกุล,face6_w.png,f,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face8_w.png,f,j,None,Yes,testwoi,001,
,,สมหมาย,face1_w.png,m,j,None,Yes,testwoi,001,
,,ฟ้าใส,face4_w.png,f,j,None,Yes,testwoi,001,
,,บุญชู,face9_w.png,m,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face7_m.png,f,j,None,Yes,testwoi,001,
,,พอใจ,face3_m.png,f,j,None,Yes,testwoi,001,
,,บุญชู,face8_w.png,m,j,None,Yes,testwoi,001,
,,สมปอง,face5_m.png,m,j,None,Yes,testwoi,001,
,,สมหญิง,face9_w.png,f,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face6_m.png,f,j,None,Yes,testwoi,001,
,,ประทีป,face8_m.png,m,j,None,Yes,testwoi,001,
,,สมหมาย,face6_m.png,m,j,None,Yes,testwoi,001,
,,สมชาย,face4_m.png,m,j,None,Yes,testwoi,001,
,,ประทีป,face1_w.png,m,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face10_w.png,m,j,None,Yes,testwoi,001,
,,ประทีป,face9_w.png,m,j,None,Yes,testwoi,001,
,,สมหญิง,face8_w.png,f,j,None,Yes,testwoi,001,
,,ฟ้าใส,face1_w.png,f,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face5_m.png,f,j,None,Yes,testwoi,001,
,,ทองดี,face7_w.png,m,j,None,Yes,testwoi,001,
,,ประเสริฐ,face8_w.png,m,j,None,Yes,testwoi,001,
,,ทองดี,face5_w.png,m,j,None,Yes,testwoi,001,
,,มั่นคง,face6_w.png,m,j,None,Yes,testwoi,001,
,,มั่นคง,face9_m.png,m,j,None,Yes,testwoi,001,
,,พิกุล,face8_w.png,f,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face5_w.png,m,j,None,Yes,testwoi,001,
,,สายใจ,face4_w.png,f,j,None,Yes,testwoi,001,
,,สมชาย,face1_m.png,m,j,None,Yes,testwoi,001,
,,ประทีป,face4_m.png,m,j,None,Yes,testwoi,001,
,,พิกุล,face8_m.png,f,j,None,Yes,testwoi,001,
,,ทองดี,face1_w.png,m,j,None,Yes,testwoi,001,
,,ประทีป,face3_w.png,m,j,None,Yes,testwoi,001,
,,ประทีป,face2_w.png,m,j,None,Yes,testwoi,001,
,,สมหญิง,face1_w.png,f,j,None,Yes,testwoi,001,
,,สายใจ,face6_w.png,f,j,None,Yes,testwoi,001,
,,ประเสริฐ,face7_w.png,m,j,None,Yes,testwoi,001,
,,สมปอง,face1_w.png,m,j,0.13354100000003655,No,testwoi,001,
,,ทองดี,face10_m.png,m,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face1_m.png,m,j,None,Yes,testwoi,001,
,,ทับทิม,face4_w.png,f,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face6_w.png,m,j,2.1336201999999957,No,testwoi,001,
,,สายใจ,face1_w.png,f,j,None,Yes,testwoi,001,
,,พิกุล,face10_m.png,f,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face2_w.png,f,j,None,Yes,testwoi,001,
,,มั่นคง,face4_w.png,m,j,None,Yes,testwoi,001,
,,พอใจ,face5_m.png,f,j,None,Yes,testwoi,001,
,,มานะ,face2_m.png,m,j,None,Yes,testwoi,001,
,,บุญชู,face2_w.png,m,j,None,Yes,testwoi,001,
,,บุญชู,face8_m.png,m,j,None,Yes,testwoi,001,
,,สมปอง,face6_w.png,m,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face5_m.png,f,j,None,Yes,testwoi,001,
,,มานะ,face9_m.png,m,j,None,Yes,testwoi,001,
,,มั่นคง,face3_w.png,m,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face9_m.png,f,j,None,Yes,testwoi,001,
,,พิกุล,face4_w.png,f,j,None,Yes,testwoi,001,
,,มานะ,face6_w.png,m,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face4_m.png,f,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face8_m.png,m,j,None,Yes,testwoi,001,
,,พิกุล,face6_m.png,f,j,None,Yes,testwoi,001,
,,มั่นคง,face1_m.png,m,j,None,Yes,testwoi,001,
,,แก้วตา,face10_w.png,f,j,None,Yes,testwoi,001,
,,สมหญิง,face4_m.png,f,j,None,Yes,testwoi,001,
,,สมหญิง,face7_w.png,f,j,None,Yes,testwoi,001,
,,สมชาย,face1_w.png,m,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face7_w.png,m,j,None,Yes,testwoi,001,
,,พอใจ,face4_w.png,f,j,None,Yes,testwoi,001,
,,ทองดี,face9_w.png,m,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face5_w.png,f,j,None,Yes,testwoi,001,
,,สมชาย,face5_m.png,m,j,None,Yes,testwoi,001,
,,ประเสริฐ,face2_m.png,m,j,None,Yes,testwoi,001,
,,สายใจ,face10_w.png,f,j,None,Yes,testwoi,001,
,,ประเสริฐ,face5_m.png,m,j,None,Yes,testwoi,001,
,,สมปอง,face3_w.png,m,j,None,Yes,testwoi,001,
,,มั่นคง,face5_m.png,m,j,None,Yes,testwoi,001,
,,ทองดี,face2_w.png,m,j,None,Yes,testwoi,001,
,,มั่นคง,face8_m.png,m,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face6_w.png,f,j,None,Yes,testwoi,001,
,,ประทีป,face5_w.png,m,j,None,Yes,testwoi,001,
,,สายใจ,face2_w.png,f,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face3_w.png,f,j,None,Yes,testwoi,001,
,,สมปอง,face5_w.png,m,j,None,Yes,testwoi,001,
,,ฟ้าใส,face5_m.png,f,j,None,Yes,testwoi,001,
,,สายใจ,face2_m.png,f,j,None,Yes,testwoi,001,
,,สายใจ,face4_m.png,f,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face10_m.png,f,j,None,Yes,testwoi,001,
,,สายใจ,face9_m.png,f,j,None,Yes,testwoi,001,
,,พิกุล,face2_w.png,f,j,None,Yes,testwoi,001,
,,มานะ,face8_m.png,m,j,None,Yes,testwoi,001,
,,มานะ,face3_w.png,m,j,None,Yes,testwoi,001,
,,ฟ้าใส,face5_w.png,f,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face8_m.png,f,j,None,Yes,testwoi,001,
,,แก้วตา,face5_w.png,f,j,None,Yes,testwoi,001,
,,ทับทิม,face5_m.png,f,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face7_w.png,f,j,None,Yes,testwoi,001,
,,สมหมาย,face7_m.png,m,j,None,Yes,testwoi,001,
,,พิกุล,face1_m.png,f,j,None,Yes,testwoi,001,
,,สมหมาย,face5_w.png,m,j,None,Yes,testwoi,001,
,,สมหมาย,face3_w.png,m,j,None,Yes,testwoi,001,
,,ทองดี,face3_m.png,m,j,None,Yes,testwoi,001,
,,ทับทิม,face2_m.png,f,j,None,Yes,testwoi,001,
,,มั่นคง,face6_m.png,m,j,None,Yes,testwoi,001,
,,พอใจ,face4_m.png,f,j,None,Yes,testwoi,001,
,,สมหมาย,face6_w.png,m,j,None,Yes,testwoi,001,
,,มั่นคง,face2_w.png,m,j,None,Yes,testwoi,001,
,,สมปอง,face4_w.png,m,j,None,Yes,testwoi,001,
,,สายใจ,face9_w.png,f,j,None,Yes,testwoi,001,
,,สมปอง,face9_w.png,m,j,None,Yes,testwoi,001,
,,มานะ,face9_w.png,m,j,None,Yes,testwoi,001,
,,แก้วตา,face8_m.png,f,j,None,Yes,testwoi,001,
,,สมหญิง,face10_w.png,f,j,None,Yes,testwoi,001,
,,ทับทิม,face10_w.png,f,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face9_m.png,f,j,None,Yes,testwoi,001,
,,สมหญิง,face1_m.png,f,j,None,Yes,testwoi,001,
,,มั่นคง,face8_w.png,m,j,None,Yes,testwoi,001,
,,พอใจ,face10_m.png,f,j,None,Yes,testwoi,001,
,,ประทีป,face6_m.png,m,j,None,Yes,testwoi,001,
,,ทับทิม,face10_m.png,f,j,None,Yes,testwoi,001,
,,บุญชู,face1_m.png,m,j,None,Yes,testwoi,001,
,,สมชาย,face2_w.png,m,j,None,Yes,testwoi,001,
,,แก้วตา,face3_w.png,f,j,None,Yes,testwoi,001,
,,พิกุล,face3_w.png,f,j,None,Yes,testwoi,001,
,,บุญชู,face10_w.png,m,j,None,Yes,testwoi,001,
,,ประทีป,face10_w.png,m,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face1_w.png,f,j,None,Yes,testwoi,001,
,,สมชาย,face10_m.png,m,j,None,Yes,testwoi,001,
,,พิกุล,face10_w.png,f,j,None,Yes,testwoi,001,
,,ทับทิม,face5_w.png,f,j,None,Yes,testwoi,001,
,,สมชาย,face3_m.png,m,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face7_w.png,f,j,None,Yes,testwoi,001,
,,สายใจ,face10_m.png,f,j,None,Yes,testwoi,001,
,,พอใจ,face5_w.png,f,j,None,Yes,testwoi,001,
,,สมหญิง,face2_w.png,f,j,None,Yes,testwoi,001,
,,ฟ้าใส,face3_w.png,f,j,None,Yes,testwoi,001,
,,แก้วตา,face7_w.png,f,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face2_w.png,f,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face3_w.png,f,j,None,Yes,testwoi,001,
,,พิกุล,face5_w.png,f,j,None,Yes,testwoi,001,
,,มานะ,face5_m.png,m,j,None,Yes,testwoi,001,
,,สายใจ,face3_m.png,f,j,None,Yes,testwoi,001,
,,มั่นคง,face3_m.png,m,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face3_w.png,m,j,None,Yes,testwoi,001,
,,ทองดี,face6_w.png,m,j,None,Yes,testwoi,001,
,,พิกุล,face5_m.png,f,j,None,Yes,testwoi,001,
,,ทองดี,face4_w.png,m,j,None,Yes,testwoi,001,
,,สมหญิง,face3_m.png,f,j,None,Yes,testwoi,001,
,,สายใจ,face6_m.png,f,j,None,Yes,testwoi,001,
,,ฟ้าใส,face3_m.png,f,j,None,Yes,testwoi,001,
,,บุญชู,face9_m.png,m,j,None,Yes,testwoi,001,
,,บุญชู,face6_w.png,m,j,None,Yes,testwoi,001,
,,ทองดี,face1_m.png,m,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face2_w.png,m,j,0.5669049999999629,No,testwoi,001,
,,สมปอง,face2_w.png,m,j,0.050390600000014274,No,testwoi,001,
,,ดวงแก้ว,face9_w.png,f,j,0.006503600000030474,No,testwoi,001,
,,แก้วตา,face2_w.png,f,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face2_m.png,f,j,None,Yes,testwoi,001,
,,บุญชู,face7_m.png,m,j,None,Yes,testwoi,001,
,,มั่นคง,face10_m.png,m,j,None,Yes,testwoi,001,
,,สมชาย,face10_w.png,m,j,0.43340849999998454,No,testwoi,001,
,,แก้วตา,face5_m.png,f,j,0.06734990000001062,No,testwoi,001,
,,สมหมาย,face5_m.png,m,j,0.08352209999998195,No,testwoi,001,
,,มานะ,face10_w.png,m,j,None,Yes,testwoi,001,
,,สมหญิง,face6_w.png,f,j,0.5169635999999969,No,testwoi,001,
,,สมหมาย,face3_m.png,m,j,0.5003365999999687,No,testwoi,001,
,,มานะ,face4_m.png,m,j,0.5500590999999986,No,testwoi,001,
,,ฟ้าใส,face2_m.png,f,j,0.48407480000003034,No,testwoi,001,
,,ฟ้าใส,face1_m.png,f,j,0.46685839999997825,No,testwoi,001,
,,ฟ้าใส,face9_w.png,f,j,0.4835128999999938,No,testwoi,001,
,,พอใจ,face8_w.png,f,j,0.48359719999996287,No,testwoi,001,
,,ทับทิม,face7_m.png,f,j,0.4669031999999902,No,testwoi,001,
,,ทับทิม,face4_m.png,f,j,0.43391739999998435,No,testwoi,001,
,,มั่นคง,face10_w.png,m,j,0.3498205999999868,No,testwoi,001,
,,ใบเฟิร์น,face5_w.png,f,j,0.30019830000003367,No,testwoi,001,
,,ทองดี,face4_m.png,m,k,0.08352100000001883,No,testwoi,001,
,,ทองดี,face8_w.png,m,j,None,Yes,testwoi,001,
,,สายใจ,face1_m.png,f,k,None,Yes,testwoi,001,
,,สมปอง,face9_m.png,m,j,None,Yes,testwoi,001,
,,แก้วตา,face4_w.png,f,j,0.3833507999999597,No,testwoi,001,
,,แก้วตา,face10_m.png,f,j,0.2170322999999712,No,testwoi,001,
,,มานะ,face5_w.png,m,j,0.26673440000001847,No,testwoi,001,
,,แก้วตา,face6_m.png,f,j,0.2839751000000206,No,testwoi,001,
,,สมปอง,face8_w.png,m,j,0.23357219999996914,No,testwoi,001,
,,ใบเฟิร์น,face9_w.png,f,j,0.28368419999998196,No,testwoi,001,
,,สมหญิง,face6_m.png,f,j,0.20029210000001285,No,testwoi,001,
,,แก้วตา,face8_w.png,f,j,None,Yes,testwoi,001,
,,ทับทิม,face7_w.png,f,j,0.6835566000000313,No,testwoi,001,
,,แก้วตา,face6_w.png,f,j,None,Yes,testwoi,001,
,,ทับทิม,face9_w.png,f,j,0.5669505000000186,No,testwoi,001,
,,สมหญิง,face5_m.png,f,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face6_w.png,f,j,0.2505835999999704,No,testwoi,001,
,,สมปอง,face3_m.png,m,j,None,Yes,testwoi,001,
,,พิกุล,face9_w.png,f,j,None,Yes,testwoi,001,
,,บุญชู,face3_m.png,m,j,None,Yes,testwoi,001,
,,ทับทิม,face1_w.png,f,j,0.38362449999999626,No,testwoi,001,
,,ทองดี,face6_m.png,m,j,0.7837177000000111,No,testwoi,001,
,,ชูศักดิ์,face2_m.png,m,j,0.816934300000014,No,testwoi,001,
,,ชูศักดิ์,face9_w.png,m,j,1.1000614999999812,No,testwoi,001,
,,สมหมาย,face4_w.png,m,j,0.9501577000000339,No,testwoi,001,
,,ฟ้าใส,face7_m.png,f,j,0.6335315000000037,No,testwoi,001,
,,ชูศักดิ์,face6_m.png,m,j,1.2671964000000457,No,testwoi,001,
,,สมชาย,face4_w.png,m,j,1.5001393000000007,No,testwoi,001,
,,ใบเฟิร์น,face6_m.png,f,j,0.3167985000000044,No,testwoi,001,
,,ทับทิม,face6_m.png,f,j,0.5837981999999897,No,testwoi,001,
,,บุญชู,face1_w.png,m,j,0.28388350000000173,No,testwoi,001,
,,ดวงแก้ว,face4_m.png,f,j,0.16667150000000674,No,testwoi,001,
,,ประทีป,face1_m.png,m,k,0.7172578000000271,No,testwoi,001,
,,วันเพ็ญ,face1_w.png,f,k,0.3006841000000122,No,testwoi,001,
,,บุญชู,face7_w.png,m,k,0.6002159000000233,No,testwoi,001,
,,ดวงแก้ว,face9_m.png,f,k,0.35025269999999864,No,testwoi,001,
,,ดวงแก้ว,face4_w.png,f,k,0.3337652000000162,No,testwoi,001,
,,ทองดี,face2_m.png,m,k,0.16679480000004787,No,testwoi,001,
,,แก้วตา,face2_m.png,f,k,0.18358460000001742,No,testwoi,001,
,,ทองดี,face10_w.png,m,k,0.31695129999997107,No,testwoi,001,
,,พอใจ,face10_w.png,f,k,0.25013020000000097,No,testwoi,001,
,,วันเพ็ญ,face8_w.png,f,k,0.06663759999997865,No,testwoi,001,
,,พอใจ,face6_m.png,f,k,0.26764289999999846,No,testwoi,001,
,,สมชาย,face5_w.png,m,k,0.08322440000000597,No,testwoi,001,
,,ฟ้าใส,face10_m.png,f,k,0.3667272000000139,No,testwoi,001,
,,บุญชู,face3_w.png,m,k,0.3006546999999955,No,testwoi,001,
,,สมหมาย,face2_m.png,m,k,0.050360799999964456,No,testwoi,001,
,,ฟ้าใส,face2_w.png,f,k,0.08387010000001283,No,testwoi,001,
,,มานะ,face4_w.png,m,k,0.13403389999996307,No,testwoi,001,
,,ดวงแก้ว,face5_w.png,f,k,0.2836517999999728,No,testwoi,001,
,,พอใจ,face9_m.png,f,k,None,Yes,testwoi,001,
,,สมปอง,face8_m.png,m,k,0.16713989999993828,No,testwoi,001,
,,พอใจ,face1_m.png,f,k,0.3171252000000777,No,testwoi,001,
,,ประทีป,face10_m.png,m,k,0.2167772000000241,No,testwoi,001,
,,ประทีป,face5_m.png,m,k,None,Yes,testwoi,001,
,,พิกุล,face3_m.png,f,k,0.1336569000000054,No,testwoi,001,
,,ใบเฟิร์น,face8_m.png,f,k,0.3504443000000492,No,testwoi,001,
,,สายใจ,face7_m.png,f,k,None,Yes,testwoi,001,
,,สมหมาย,face4_m.png,m,k,0.4001830999999356,No,testwoi,001,
,,ดวงแก้ว,face1_w.png,f,k,None,Yes,testwoi,001,
,,สมหมาย,face8_m.png,m,k,0.1010351999999557,No,testwoi,001,
,,ประเสริฐ,face8_m.png,m,k,None,Yes,testwoi,001,
,,ฟ้าใส,face6_w.png,f,k,None,Yes,testwoi,001,
,,มานะ,face8_w.png,m,k,None,Yes,testwoi,001,
,,ประเสริฐ,face3_w.png,m,k,None,Yes,testwoi,001,
,,ชูศักดิ์,face1_w.png,m,k,0.4339476000000104,No,testwoi,001,
,,ดวงแก้ว,face10_m.png,f,k,1.3842765000000554,No,testwoi,001,
,,พอใจ,face2_w.png,f,k,0.26683939999998074,No,testwoi,001,
,,บุญชู,face6_m.png,m,k,0.25076290000004064,No,testwoi,001,
