Male,Female,Image,Name,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block_male.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block_male.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
None,None,None,สุนิสา,0,0,0,j,0.3949177999747917,None,0,0,0,18,0.011740499990992248,,0.007586200023069978,0.011740499990992248,0.011740499990992248,0.011740499990992248,0.011740499990992248,0.41092379996553063,j,0.3949177999747917,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
ธนพล,วาสนา,None,ธนพล,1,1,0,k,0.23708009999245405,None,0,1,1,2,0.4237482000607997,,0.4114135999698192,0.4237482000607997,0.4237482000607997,0.4237482000607997,0.4237482000607997,0.6738431999692693,k,0.23708009999245405,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
ปริญญา,อาภรณ์,None,ปริญญา,2,2,0,k,0.1362009000731632,None,0,2,2,5,0.6899256999604404,,0.6744064999511465,0.6899256999604404,0.6899256999604404,0.6899256999604404,0.6899256999604404,0.8407010999508202,k,0.1362009000731632,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
None,None,None,จิตติมา,3,3,0,j,0.06467230000998825,None,0,3,3,16,0.8573682999704033,,0.8409987000050023,0.8573682999704033,0.8573682999704033,0.8573682999704033,0.8573682999704033,0.924095300026238,j,0.06467230000998825,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
None,None,None,ศิริพร,4,4,0,k,0.0992772999452427,None,0,4,4,14,0.9403942000353709,,0.9244911000132561,0.9403942000353709,0.9403942000353709,0.9403942000353709,0.9403942000353709,1.0409191000508144,k,0.0992772999452427,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
ชัยวัฒน์,ศิริพร,None,ชัยวัฒน์,5,5,0,j,0.07855810003820807,None,0,5,5,4,1.0573421999579296,,1.041203900007531,1.0573421999579296,1.0573421999579296,1.0573421999579296,1.0573421999579296,1.1407642000121996,j,0.07855810003820807,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,6,6,0,k,0.061791099957190454,None,0,6,6,0,1.1671884000534192,,1.1592241000616923,1.1671884000534192,1.1671884000534192,1.1671884000534192,1.1671884000534192,1.2409437999594957,k,0.061791099957190454,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
วรพล,วรรณา,None,วรพล,7,7,0,k,0.11731160001363605,None,0,7,7,7,1.2568925999803469,,1.2412326000630856,1.2568925999803469,1.2568925999803469,1.2568925999803469,1.2568925999803469,1.390447900048457,k,0.11731160001363605,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
None,None,None,วรรณา,8,8,0,k,0.16147819999605417,None,0,8,8,17,1.4077958000125363,,1.3909629000118002,1.4077958000125363,1.4077958000125363,1.4077958000125363,1.4077958000125363,1.5736053000437096,k,0.16147819999605417,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
None,None,None,ปัทมา,9,9,0,j,0.5994120000395924,None,0,9,9,19,1.5909779999637976,,1.5739200999960303,1.5909779999637976,1.5909779999637976,1.5909779999637976,1.5909779999637976,2.206637699971907,j,0.5994120000395924,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
None,None,None,อาภรณ์,10,10,0,j,0.21097180002834648,None,0,10,10,15,2.223298800061457,,2.206933100009337,2.223298800061457,2.223298800061457,2.223298800061457,2.223298800061457,2.4415965999942273,j,0.21097180002834648,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
อรรถพล,สุพัตรา,None,อรรถพล,11,11,0,j,0.20293649996165186,None,0,11,11,3,2.457373399985954,,2.441919400007464,2.457373399985954,2.457373399985954,2.457373399985954,2.457373399985954,2.6740462000016123,j,0.20293649996165186,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
ศักดิ์สิทธิ์,สุนิสา,None,ศักดิ์สิทธิ์,12,12,0,k,0.8148582999128848,None,0,12,12,8,2.690631299978122,,2.6743440000573173,2.690631299978122,2.690631299978122,2.690631299978122,2.690631299978122,3.5076088999630883,k,0.8148582999128848,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
ภูมิพัฒน์,จิตติมา,None,ภูมิพัฒน์,13,13,0,k,0.28940020001027733,None,0,13,13,6,3.5231395000591874,,3.5080961000639945,3.5231395000591874,3.5231395000591874,3.5231395000591874,3.5231395000591874,3.8237602000590414,k,0.28940020001027733,None,313045,001,2025-09-25_15h26.57.984,Priming_gender,,2025.1.1,59.82639576615221,2025-09-25 15h27.00.257865 +0700,
