Male,Female,Image,Name,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block_male.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block_male.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
นเรศ,พิมพ์ใจ,women.png,นเรศ,0,0,0,j,0.9107072000624612,None,0,0,0,1,0.03765369998291135,,0.03032819996587932,0.03765369998291135,0.03765369998291135,0.03765369998291135,0.03765369998291135,0.9571441999869421,j,0.9107072000624612,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,1,1,0,k,0.49822160007897764,None,0,1,1,0,0.980291899992153,,0.9732922000112012,0.980291899992153,0.980291899992153,0.980291899992153,0.980291899992153,1.4876881999662146,k,0.49822160007897764,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,2,2,1,j,0.2203475000569597,None,1,2,2,0,1.5119713000021875,,1.5061979999300092,1.5119713000021875,1.5119713000021875,1.5119713000021875,1.5119713000021875,1.7388039999641478,j,0.2203475000569597,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,3,3,2,k,0.2967238000128418,None,2,3,3,0,1.762873400002718,,1.756594599923119,1.762873400002718,1.762873400002718,1.762873400002718,1.762873400002718,2.070710100000724,k,0.2967238000128418,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,4,4,3,k,0.44114749995060265,None,3,4,4,0,2.0950550999259576,,2.089083299972117,2.0950550999259576,2.0950550999259576,2.0950550999259576,2.0950550999259576,2.5367419000249356,k,0.44114749995060265,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,5,5,4,k,0.3546156999655068,None,4,5,5,0,2.5609389999881387,,2.554849899956025,2.5609389999881387,2.5609389999881387,2.5609389999881387,2.5609389999881387,2.920527199981734,k,0.3546156999655068,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,6,6,1,k,0.1263371000532061,None,1,6,6,1,2.9437350999796763,,2.938880299916491,2.9437350999796763,2.9437350999796763,2.9437350999796763,2.9437350999796763,3.0866657999577,k,0.1263371000532061,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,7,7,5,j,0.09821560001000762,None,5,7,7,0,3.109837699914351,,3.104725099983625,3.109837699914351,3.109837699914351,3.109837699914351,3.109837699914351,3.2202016999945045,j,0.09821560001000762,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,8,8,2,k,0.11722789995837957,None,2,8,8,1,3.2431511000031605,,3.2381711999187246,3.2431511000031605,3.2431511000031605,3.2431511000031605,3.2431511000031605,3.3706444000126794,k,0.11722789995837957,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,9,9,6,j,0.0552515999879688,None,6,9,9,0,3.3936370000010356,,3.389027699944563,3.3936370000010356,3.3936370000010356,3.3936370000010356,3.3936370000010356,3.453544299933128,j,0.0552515999879688,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,10,10,3,k,0.07908659998793155,None,3,10,10,1,3.4758370999479666,,3.4707331999670714,3.4758370999479666,3.4758370999479666,3.4758370999479666,3.4758370999479666,3.571239299955778,k,0.07908659998793155,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,11,11,7,j,0.04617600003257394,None,7,11,11,0,3.5943537999410182,,3.589357399963774,3.5943537999410182,3.5943537999410182,3.5943537999410182,3.5943537999410182,3.6532312999479473,j,0.04617600003257394,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,12,12,4,k,0.059836599975824356,None,4,12,12,1,3.6761192999547347,,3.6708447999553755,3.6761192999547347,3.6761192999547347,3.6761192999547347,3.6761192999547347,3.73725879995618,k,0.059836599975824356,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,13,13,5,j,0.04376199992839247,None,5,13,13,1,3.760385699919425,,3.7547045999672264,3.760385699919425,3.760385699919425,3.760385699919425,3.760385699919425,3.820145000005141,j,0.04376199992839247,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,14,14,8,k,0.059343400062061846,None,8,14,14,0,3.843176299938932,,3.8383660999825224,3.843176299938932,3.843176299938932,3.843176299938932,3.843176299938932,3.903861499973573,k,0.059343400062061846,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,15,15,9,k,0.16430930001661181,None,9,15,15,0,3.9265189999714494,,3.921644499991089,3.9265189999714494,3.9265189999714494,3.9265189999714494,3.9265189999714494,4.103319899993949,k,0.16430930001661181,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,16,16,10,j,0.0737657001009211,None,10,16,16,0,4.1262012999504805,,4.12138899997808,4.1262012999504805,4.1262012999504805,4.1262012999504805,4.1262012999504805,4.20346150000114,j,0.0737657001009211,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,17,17,11,j,0.11607079999521375,None,11,17,17,0,4.2260494999354705,,4.22127619991079,4.2260494999354705,4.2260494999354705,4.2260494999354705,4.2260494999354705,4.353195499978028,j,0.11607079999521375,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,18,18,6,k,0.17332709999755025,None,6,18,18,1,4.376403299975209,,4.369746399926953,4.376403299975209,4.376403299975209,4.376403299975209,4.376403299975209,4.553223499911837,k,0.17332709999755025,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,19,19,7,j,0.10876360000111163,None,7,19,19,1,4.5767980000237,,4.571581600001082,4.5767980000237,4.5767980000237,4.5767980000237,4.5767980000237,4.686749899992719,j,0.10876360000111163,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,20,20,8,k,0.07378650002647191,None,8,20,20,1,4.709946800023317,,4.704924799967557,4.709946800023317,4.709946800023317,4.709946800023317,4.709946800023317,4.787500599981286,k,0.07378650002647191,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,21,21,9,j,0.08022430003620684,None,9,21,21,1,4.810537599958479,,4.804323400021531,4.810537599958479,4.810537599958479,4.810537599958479,4.810537599958479,4.903249399969354,j,0.08022430003620684,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,22,22,10,k,0.2599424000363797,None,10,22,22,1,4.926484299940057,,4.921288599958643,4.926484299940057,4.926484299940057,4.926484299940057,4.926484299940057,5.187082699965686,k,0.2599424000363797,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,23,23,11,k,0.18346040009055287,None,11,23,23,1,5.20938179991208,,5.2048110999166965,5.20938179991208,5.20938179991208,5.20938179991208,5.20938179991208,5.4036561999237165,k,0.18346040009055287,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,24,24,12,k,0.1949402999598533,None,12,24,24,0,5.4261116000125185,,5.421157700009644,5.4261116000125185,5.4261116000125185,5.4261116000125185,5.4261116000125185,5.636862699990161,k,0.1949402999598533,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,25,25,12,k,0.12266990006901324,None,12,25,25,1,5.660680099972524,,5.6549185999901965,5.660680099972524,5.660680099972524,5.660680099972524,5.660680099972524,5.786058499943465,k,0.12266990006901324,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,26,26,13,k,0.10751370002981275,None,13,26,26,1,5.809319199994206,,5.804277500021271,5.809319199994206,5.809319199994206,5.809319199994206,5.809319199994206,5.920419599977322,k,0.10751370002981275,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,27,27,13,j,0.033966499962843955,None,13,27,27,0,5.954763500019908,,5.943866699934006,5.954763500019908,5.954763500019908,5.954763500019908,5.954763500019908,6.002863299916498,j,0.033966499962843955,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,28,28,14,k,0.10906389995943755,None,14,28,28,0,6.024646500009112,,6.019969300017692,6.024646500009112,6.024646500009112,6.024646500009112,6.024646500009112,6.13649710000027,k,0.10906389995943755,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,29,29,14,k,0.20167660003062338,None,14,29,29,1,6.15963060001377,,6.1546199999284,6.15963060001377,6.15963060001377,6.15963060001377,6.15963060001377,6.37007129995618,k,0.20167660003062338,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,30,30,15,k,0.17785550002008677,None,15,30,30,0,6.392678299918771,,6.387912099948153,6.392678299918771,6.392678299918771,6.392678299918771,6.392678299918771,6.586476299911737,k,0.17785550002008677,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,31,31,15,k,0.15179389994591475,None,15,31,31,1,6.609554599970579,,6.60466599999927,6.609554599970579,6.609554599970579,6.609554599970579,6.609554599970579,6.7697607999434695,k,0.15179389994591475,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,32,32,16,j,0.14002659998368472,None,16,32,32,0,6.7909940999234095,,6.786031599971466,6.7909940999234095,6.7909940999234095,6.7909940999234095,6.7909940999234095,6.937732100021094,j,0.14002659998368472,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,33,33,17,k,0.10888650000561029,None,17,33,33,0,6.961655699997209,,6.956257199984975,6.961655699997209,6.961655699997209,6.961655699997209,6.961655699997209,7.086667799972929,k,0.10888650000561029,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,34,34,16,j,0.04486459994222969,None,16,34,34,1,7.10965729993768,,7.104709799983539,7.10965729993768,7.10965729993768,7.10965729993768,7.10965729993768,7.16983629995957,j,0.04486459994222969,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,35,35,18,k,0.07267719996161759,None,18,35,35,0,7.192750499933027,,7.187915300019085,7.192750499933027,7.192750499933027,7.192750499933027,7.192750499933027,7.269533299957402,k,0.07267719996161759,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,36,36,17,k,0.11991170002147555,None,17,36,36,1,7.291007600026205,,7.285705699934624,7.291007600026205,7.291007600026205,7.291007600026205,7.291007600026205,7.419538200017996,k,0.11991170002147555,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,37,37,19,k,0.1988232999574393,None,19,37,37,0,7.442663099966012,,7.4377527999458835,7.442663099966012,7.442663099966012,7.442663099966012,7.442663099966012,7.652779500000179,k,0.1988232999574393,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,38,38,18,k,0.18008479999843985,None,18,38,38,1,7.675788599997759,,7.670814099954441,7.675788599997759,7.675788599997759,7.675788599997759,7.675788599997759,7.869584499974735,k,0.18008479999843985,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,39,39,19,j,0.07681430003140122,None,19,39,39,1,7.892154000001028,,7.887495099916123,7.892154000001028,7.892154000001028,7.892154000001028,7.892154000001028,7.9703380999853835,j,0.07681430003140122,None,156132,001,2025-09-25_15h38.40.181,Priming_gender,,2025.1.1,59.613797973021605,2025-09-25 15h38.43.116976 +0700,
