2.5783 	EXP 	MAN_2: text = 'MAN'
2.5783 	EXP 	WOMAN_2: height = np.float64(0.1)
2.5783 	EXP 	WOMAN_2: height = np.float64(0.1)
2.5783 	EXP 	WOMAN_2: height = np.float64(0.1)
2.5783 	EXP 	WOMAN_2: text = 'WOMAN'
2.5783 	EXP 	MAN_2: autoDraw = True
2.5783 	EXP 	WOMAN_2: autoDraw = True
2.5783 	EXP 	Fname: autoDraw = True
2.5783 	EXP 	female_pic: autoDraw = True
2.6756 	EXP 	Device response: <KeyPress from None: t=2.5493209999985993, value=j, duration=0.11981730000115931>
3.2788 	DATA 	Keypress: k
3.2927 	EXP 	Device response: <KeyPress from None: t=3.2780973999761045, value=k, duration=None>
3.2930 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'Male': 'อรรถพล', 'Female': 'สุพัตรา', 'Image': None, 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
3.3099 	INFO 	Keyboard events cleared
3.3098 	EXP 	MAN_2: autoDraw = False
3.3098 	EXP 	WOMAN_2: autoDraw = False
3.3098 	EXP 	Fname: autoDraw = False
3.3098 	EXP 	female_pic: autoDraw = False
3.3098 	EXP 	MAN: autoDraw = True
3.3098 	EXP 	WOMAN: autoDraw = True
3.3098 	EXP 	Mname: autoDraw = True
3.3098 	EXP 	men_pic: autoDraw = True
3.3923 	EXP 	Device response: <KeyPress from None: t=3.2780973999761045, value=k, duration=0.1113055000314489>
3.6265 	EXP 	Device response: <KeyPress from None: t=3.6244021999882534, value=j, duration=None>
3.6327 	DATA 	Keypress: j
3.6431 	INFO 	Keyboard events cleared
3.6430 	EXP 	MAN: autoDraw = False
3.6430 	EXP 	WOMAN: autoDraw = False
3.6430 	EXP 	Mname: autoDraw = False
3.6430 	EXP 	men_pic: autoDraw = False
3.6430 	EXP 	MAN_2: text = 'MAN'
3.6430 	EXP 	WOMAN_2: text = 'WOMAN'
3.6430 	EXP 	MAN_2: autoDraw = True
3.6430 	EXP 	WOMAN_2: autoDraw = True
3.6430 	EXP 	Fname: autoDraw = True
3.6430 	EXP 	female_pic: autoDraw = True
3.7423 	EXP 	Device response: <KeyPress from None: t=3.6244021999882534, value=j, duration=0.10413340001832694>
3.9089 	EXP 	Device response: <KeyPress from None: t=3.8961312000174075, value=k, duration=None>
3.9092 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'Male': 'ศักดิ์สิทธิ์', 'Female': 'สุนิสา', 'Image': None, 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
3.9193 	DATA 	Keypress: k
3.9259 	INFO 	Keyboard events cleared
3.9258 	EXP 	MAN_2: autoDraw = False
