Male,Female,Image,Name,ImagePriming,NamePriming,ImageTrig,NameTrig,Trig,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,MAN_3_desc.started,WOMAN_3.started,WOMAN_3_desc.started,name_2.started,key_resp_3.started,pic_2.started,name_2.stopped,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008219399955123663,0.018687900039367378,0.018687900039367378,0.87407479993999,space,0.8453862000023946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283908,001,2025-09-26_07h59.47.489,Priming_gender,,2025.1.1,59.56607304002281,2025-09-26 07h59.59.042424 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,0,0,0,j,0.6100226000417024,None,,,,0,0,0,1,,,,,0.9274099000031129,,,,,,,,,0.9148037999402732,0.9274099000031129,0.9274099000031129,0.9274099000031129,0.9274099000031129,1.5515037999721244,j,0.6100226000417024,None,,,,,,,,,,,,,,,,,,,,,283908,001,2025-09-26_07h59.47.489,Priming_gender,,2025.1.1,59.56607304002281,2025-09-26 07h59.59.042424 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,1,1,0,k,0.06491840002126992,None,,,,0,1,1,0,,,,,1.585863700020127,,,,,,,,,1.5771585999755189,1.585863700020127,1.585863700020127,1.585863700020127,1.585863700020127,1.6685458000283688,k,0.06491840002126992,None,,,,,,,,,,,,,,,,,,,,,283908,001,2025-09-26_07h59.47.489,Priming_gender,,2025.1.1,59.56607304002281,2025-09-26 07h59.59.042424 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,2,2,1,j,0.06837969995103776,None,,,,1,2,2,0,,,,,1.7039750999538228,,,,,,,,,1.6950524999992922,1.7039750999538228,1.7039750999538228,1.7039750999538228,1.7039750999538228,1.784011699957773,j,0.06837969995103776,None,,,,,,,,,,,,,,,,,,,,,283908,001,2025-09-26_07h59.47.489,Priming_gender,,2025.1.1,59.56607304002281,2025-09-26 07h59.59.042424 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,3,3,2,k,0.05722260009497404,None,,,,2,3,3,0,,,,,1.8196787999477237,,,,,,,,,1.8109774999320507,1.8196787999477237,1.8196787999477237,1.8196787999477237,1.8196787999477237,1.8845129000255838,k,0.05722260009497404,None,,,,,,,,,,,,,,,,,,,,,283908,001,2025-09-26_07h59.47.489,Priming_gender,,2025.1.1,59.56607304002281,2025-09-26 07h59.59.042424 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,4,4,1,j,0.02003879996482283,None,,,,1,4,4,1,,,,,1.9205600999994203,,,,,,,,,1.9113851999863982,1.9205600999994203,1.9205600999994203,1.9205600999994203,1.9205600999994203,1.951997400028631,j,0.02003879996482283,None,,,,,,,,,,,,,,,,,,,,,283908,001,2025-09-26_07h59.47.489,Priming_gender,,2025.1.1,59.56607304002281,2025-09-26 07h59.59.042424 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,5,5,2,k,0.050322100054472685,None,,,,2,5,5,1,,,,,1.9880528999492526,,,,,,,,,1.9790264000184834,1.9880528999492526,1.9880528999492526,1.9880528999492526,1.9880528999492526,2.0504924999549985,k,0.050322100054472685,None,,,,,,,,,,,,,,,,,,,,,283908,001,2025-09-26_07h59.47.489,Priming_gender,,2025.1.1,59.56607304002281,2025-09-26 07h59.59.042424 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,6,6,3,j,0.021497300011105835,None,,,,3,6,6,1,,,,,2.086215900024399,,,,,,,,,2.0772783999564126,2.086215900024399,2.086215900024399,2.086215900024399,2.086215900024399,2.1182631000410765,j,0.021497300011105835,None,,,,,,,,,,,,,,,,,,,,,283908,001,2025-09-26_07h59.47.489,Priming_gender,,2025.1.1,59.56607304002281,2025-09-26 07h59.59.042424 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,7,7,4,k,0.05612740002106875,None,,,,4,7,7,1,,,,,2.1533873999724165,,,,,,,,,2.1445530999917537,2.1533873999724165,2.1533873999724165,2.1533873999724165,2.1533873999724165,2.21828979998827,k,0.05612740002106875,None,,,,,,,,,,,,,,,,,,,,,283908,001,2025-09-26_07h59.47.489,Priming_gender,,2025.1.1,59.56607304002281,2025-09-26 07h59.59.042424 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,8,8,5,j,0.023537399945780635,None,,,,5,8,8,1,,,,,2.25451689993497,,,,,,,,,2.2452584999846295,2.25451689993497,2.25451689993497,2.25451689993497,2.25451689993497,2.28480230004061,j,0.023537399945780635,None,,,,,,,,,,,,,,,,,,,,,283908,001,2025-09-26_07h59.47.489,Priming_gender,,2025.1.1,59.56607304002281,2025-09-26 07h59.59.042424 +0700,
