Male,Female,Image,Name,ImagePriming,NamePriming,ImageTrig,NameTrig,Trig,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,MAN_3_desc.started,WOMAN_3.started,WOMAN_3_desc.started,name_2.started,key_resp_3.started,pic_2.started,name_2.stopped,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,Ending.started,Ending.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
None,None,None,None,women.png,อาภรณ์,11,65,135,20,20,0,,,,k,0.09576809999998659,None,,,,,0,20,20,35,20.74423910002224,,,,,,,,,,,,,,,,,,,,,,,,,20.72489830001723,20.74423910002224,20.74423910002224,20.74423910002224,20.74423910002224,20.74423910002224,20.74423910002224,,,20.844563400023617,k,0.09576809999998659,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
None,None,None,None,women.png,ธนพล,11,52,122,21,21,0,,,,j,0.029811999993398786,None,,,,,0,21,21,22,20.877631700015627,,,,,,,,,,,,,,,,,,,,,,,,,20.8582291000057,20.877631700015627,20.877631700015627,20.877631700015627,20.877631700015627,20.877631700015627,20.877631700015627,,,20.911541300010867,j,0.029811999993398786,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
None,None,None,None,women.png,ปัทมา,11,69,139,22,22,0,,,,k,0.06772719998843968,None,,,,,0,22,22,39,20.944458600017242,,,,,,,,,,,,,,,,,,,,,,,,,20.92493660002947,20.944458600017242,20.944458600017242,20.944458600017242,20.944458600017242,20.944458600017242,20.944458600017242,,,21.02897370001301,k,0.06772719998843968,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
None,None,None,None,women.png,ปริญญา,11,55,125,23,23,0,,,,j,0.04006999998819083,None,,,,,0,23,23,25,21.0624308999395,,,,,,,,,,,,,,,,,,,,,,,,,21.042783200042322,21.0624308999395,21.0624308999395,21.0624308999395,21.0624308999395,21.0624308999395,21.0624308999395,,,21.11154199996963,j,0.04006999998819083,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
None,None,None,None,women.png,จิตติมา,11,66,136,24,24,0,,,,k,0.055301700020208955,None,,,,,0,24,24,36,21.144279000000097,,,,,,,,,,,,,,,,,,,,,,,,,21.125144099933095,21.144279000000097,21.144279000000097,21.144279000000097,21.144279000000097,21.144279000000097,21.144279000000097,,,21.211477900040336,k,0.055301700020208955,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
None,None,None,จิตติมา,men.png,จิตติมา,10,66,116,25,25,0,,,,j,0.0381323000183329,None,,,,,0,25,25,16,21.2442700000247,,,,,,,,,,,,,,,,,,,,,,,,,21.22509279998485,21.2442700000247,21.2442700000247,21.2442700000247,21.2442700000247,21.2442700000247,21.2442700000247,,,21.29553619993385,j,0.0381323000183329,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
อรรถพล,สุพัตรา,None,อรรถพล,men.png,อรรถพล,10,53,103,26,26,0,,,,k,0.04443690006155521,None,,,,,0,26,26,3,21.327803599997424,,,,,,,,,,,,,,,,,,,,,,,,,21.308952399995178,21.327803599997424,21.327803599997424,21.327803599997424,21.327803599997424,21.327803599997424,21.327803599997424,,,21.37781089998316,k,0.04443690006155521,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
None,None,None,สุพัตรา,men.png,สุพัตรา,10,63,113,27,27,0,,,,j,0.021227899938821793,None,,,,,0,27,27,13,21.411150499945506,,,,,,,,,,,,,,,,,,,,,,,,,21.391487500048243,21.411150499945506,21.411150499945506,21.411150499945506,21.411150499945506,21.411150499945506,21.411150499945506,,,21.444516799994744,j,0.021227899938821793,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
None,None,None,None,women.png,นเรศ,11,51,121,28,28,0,,,,k,0.07453010010067374,None,,,,,0,28,28,21,21.47756579995621,,,,,,,,,,,,,,,,,,,,,,,,,21.458373500034213,21.47756579995621,21.47756579995621,21.47756579995621,21.47756579995621,21.47756579995621,21.47756579995621,,,21.562099599977955,k,0.07453010010067374,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
ศักดิ์สิทธิ์,สุนิสา,None,ศักดิ์สิทธิ์,men.png,ศักดิ์สิทธิ์,10,58,108,29,29,0,,,,j,0.025470900000073016,None,,,,,0,29,29,8,21.59445490001235,,,,,,,,,,,,,,,,,,,,,,,,,21.57615929993335,21.59445490001235,21.59445490001235,21.59445490001235,21.59445490001235,21.59445490001235,21.59445490001235,,,21.628294299938716,j,0.025470900000073016,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
พิสิฐ,ปัทมา,None,พิสิฐ,men.png,พิสิฐ,10,59,109,30,30,0,,,,k,0.0782874000724405,None,,,,,0,30,30,9,21.661514400038868,,,,,,,,,,,,,,,,,,,,,,,,,21.6423427000409,21.661514400038868,21.661514400038868,21.661514400038868,21.661514400038868,21.661514400038868,21.661514400038868,,,21.74447739997413,k,0.0782874000724405,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
None,None,None,None,women.png,กฤษณะ,11,50,120,31,31,0,,,,j,0.014962199958972633,None,,,,,0,31,31,20,21.777502299984917,,,,,,,,,,,,,,,,,,,,,,,,,21.76213499996811,21.777502299984917,21.777502299984917,21.777502299984917,21.777502299984917,21.777502299984917,21.777502299984917,,,21.794823699980043,j,0.014962199958972633,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
วรพล,วรรณา,None,วรพล,men.png,วรพล,10,57,107,32,32,0,,,,k,0.08484649995807558,None,,,,,0,32,32,7,21.82757850002963,,,,,,,,,,,,,,,,,,,,,,,,,21.808974500047043,21.82757850002963,21.82757850002963,21.82757850002963,21.82757850002963,21.82757850002963,21.82757850002963,,,21.928950699977577,k,0.08484649995807558,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
None,None,None,None,women.png,สุนิสา,11,68,138,33,33,0,,,,j,0.018023400101810694,None,,,,,0,33,33,38,21.961807299987413,,,,,,,,,,,,,,,,,,,,,,,,,21.942364200018346,21.961807299987413,21.961807299987413,21.961807299987413,21.961807299987413,21.961807299987413,21.961807299987413,,,21.995791199966334,j,0.018023400101810694,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
None,None,None,พิมพ์ใจ,men.png,พิมพ์ใจ,10,61,111,34,34,0,,,,k,0.048222700017504394,None,,,,,0,34,34,11,22.029018700006418,,,,,,,,,,,,,,,,,,,,,,,,,22.009651300031692,22.029018700006418,22.029018700006418,22.029018700006418,22.029018700006418,22.029018700006418,22.029018700006418,,,22.09514130000025,k,0.048222700017504394,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,35,35,0,,,,j,0.031541100004687905,None,,,,,0,35,35,0,22.128361899987794,,,,,,,,,,,,,,,,,,,,,,,,,22.10924200003501,22.128361899987794,22.128361899987794,22.128361899987794,22.128361899987794,22.128361899987794,22.128361899987794,,,22.162521800026298,j,0.031541100004687905,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
ภูมิพัฒน์,จิตติมา,None,ภูมิพัฒน์,men.png,ภูมิพัฒน์,10,56,106,36,36,0,,,,k,0.062413400039076805,None,,,,,0,36,36,6,22.195464799995534,,,,,,,,,,,,,,,,,,,,,,,,,22.176526400027797,22.195464799995534,22.195464799995534,22.195464799995534,22.195464799995534,22.195464799995534,22.195464799995534,,,22.26258149999194,k,0.062413400039076805,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
None,None,None,ปัทมา,men.png,ปัทมา,10,69,119,37,37,0,,,,j,0.02929900004528463,None,,,,,0,37,37,19,22.29549719998613,,,,,,,,,,,,,,,,,,,,,,,,,22.276339899981394,22.29549719998613,22.29549719998613,22.29549719998613,22.29549719998613,22.29549719998613,22.29549719998613,,,22.328877500025555,j,0.02929900004528463,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
None,None,None,กาญจนา,men.png,กาญจนา,10,60,110,38,38,0,,,,k,0.05368600005749613,None,,,,,0,38,38,10,22.361428300035186,,,,,,,,,,,,,,,,,,,,,,,,,22.342505499953404,22.361428300035186,22.361428300035186,22.361428300035186,22.361428300035186,22.361428300035186,22.361428300035186,,,22.427816199953668,k,0.05368600005749613,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
None,None,None,None,women.png,วรพล,11,57,127,39,39,0,,,,j,0.028364499914459884,None,,,,,0,39,39,27,22.46144230000209,,,,,,,,,,,,,,,,,,,,,,,,,22.441350599983707,22.46144230000209,22.46144230000209,22.46144230000209,22.46144230000209,22.46144230000209,22.46144230000209,,,22.49470569996629,j,0.028364499914459884,None,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.49492339999415,22.49496529996395,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
