thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block.started,key_resp.started,MAN.started,WOMAN.started,MAN.stopped,WOMAN.stopped,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,k,5.761201000073925,None,0,0,0,0,0.09068399993702769,,0.08266489999368787,0.09068399993702769,0.09068399993702769,0.09068399993702769,1.0905461999354884,1.0905461999354884,5.857433299999684,k,5.761201000073925,None,388753,001,2025-09-25_07h52.00.855,Priming_gender,,2025.1.1,60.02941441341143,2025-09-25 07h52.14.290379 +0700,
1,0,1,k,0.427780200028792,None,1,0,1,0,5.873816999956034,,5.857549999956973,5.873816999956034,5.873816999956034,5.873816999956034,,,6.307421699981205,k,0.427780200028792,None,388753,001,2025-09-25_07h52.00.855,Priming_gender,,2025.1.1,60.02941441341143,2025-09-25 07h52.14.290379 +0700,
2,0,2,k,0.3229714999906719,None,2,0,2,0,6.323859700001776,,6.307515599997714,6.323859700001776,6.323859700001776,6.323859700001776,,,6.65743120003026,k,0.3229714999906719,None,388753,001,2025-09-25_07h52.00.855,Priming_gender,,2025.1.1,60.02941441341143,2025-09-25 07h52.14.290379 +0700,
3,0,3,j,1.6154213999398053,None,3,0,3,0,6.673894500010647,,6.65753520000726,6.673894500010647,6.673894500010647,6.673894500010647,7.673871899954975,7.673871899954975,8.290952599956654,j,1.6154213999398053,None,388753,001,2025-09-25_07h52.00.855,Priming_gender,,2025.1.1,60.02941441341143,2025-09-25 07h52.14.290379 +0700,
4,0,4,j,1.3922930000117049,None,4,0,4,0,8.307153400033712,,8.291058499948122,8.307153400033712,8.307153400033712,8.307153400033712,9.307123799924739,9.307123799924739,9.707424400025047,j,1.3922930000117049,None,388753,001,2025-09-25_07h52.00.855,Priming_gender,,2025.1.1,60.02941441341143,2025-09-25 07h52.14.290379 +0700,
5,0,5,j,1.0705116000026464,None,5,0,5,0,9.723784600035287,,9.707523599965498,9.723784600035287,9.723784600035287,9.723784600035287,10.723780900007114,10.723780900007114,10.807435099966824,j,1.0705116000026464,None,388753,001,2025-09-25_07h52.00.855,Priming_gender,,2025.1.1,60.02941441341143,2025-09-25 07h52.14.290379 +0700,
6,0,6,k,1.0427660000277683,None,6,0,6,0,10.823816900025122,,10.807535800035112,10.823816900025122,10.823816900025122,10.823816900025122,11.823656799970195,11.823656799970195,11.874005099991336,k,1.0427660000277683,None,388753,001,2025-09-25_07h52.00.855,Priming_gender,,2025.1.1,60.02941441341143,2025-09-25 07h52.14.290379 +0700,
7,0,7,j,1.1450558999786153,None,7,0,7,0,11.891480099991895,,11.874104899936356,11.891480099991895,11.891480099991895,11.891480099991895,12.907080300035886,12.907080300035886,13.040701900026761,j,1.1450558999786153,None,388753,001,2025-09-25_07h52.00.855,Priming_gender,,2025.1.1,60.02941441341143,2025-09-25 07h52.14.290379 +0700,
8,0,8,,,,8,0,8,0,13.057009299984202,,13.040806600009091,13.057009299984202,13.057009299984202,13.057009299984202,14.056974999955855,14.056974999955855,,,,,,,,,,,,,
