Male,Female,Image,Name,ImagePriming,NamePriming,ImageTrig,NameTrig,Trig,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.007505599991418421,0.02032919996418059,0.02032919996418059,0.6935021000681445,space,0.6636687000282109,None,,,,,,,,,,084293,001,2025-09-26_07h57.28.565,Priming_gender,,2025.1.1,59.59028105167432,2025-09-26 07h57.35.833084 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,0,0,0,j,1.7747015000786632,None,0,0,0,0,0.7467246999731287,,,,,,,,,0.7327571000205353,0.7467246999731287,0.7467246999731287,0.7467246999731287,0.7467246999731287,2.535589799983427,j,1.7747015000786632,None,084293,001,2025-09-26_07h57.28.565,Priming_gender,,2025.1.1,59.59028105167432,2025-09-26 07h57.35.833084 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,1,1,1,k,0.9650427000597119,None,1,1,1,0,2.571830000029877,,,,,,,,,2.563566399971023,2.571830000029877,2.571830000029877,2.571830000029877,2.571830000029877,3.5520898000104353,k,0.9650427000597119,None,084293,001,2025-09-26_07h57.28.565,Priming_gender,,2025.1.1,59.59028105167432,2025-09-26 07h57.35.833084 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,2,2,0,,,,0,2,2,1,3.585159400012344,,,,,,,,,3.577593500027433,3.585159400012344,3.585159400012344,3.585159400012344,3.585159400012344,,,,,,,,,,,,,
