Male,Female,Image,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block_male.started,MAN.started,WOMAN.started,Mname.started,men_pic.started,female_pic_2.started,key_resp.started,training_block_male.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,training_block_female.started,MAN_2.started,WOMAN_2.started,Fname.started,female_pic.started,men_pic_2.started,key_resp_2.started,training_block_female.stopped,training.key_resp_2.keys,training.key_resp_2.rt,training.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
พิสิฐ,ปัทมา,None,0,0,0,k,0.9672931000823155,None,j,0.7655244000488892,None,0,0,0,9,0.029407600057311356,,0.022770500043407083,0.029407600057311356,0.029407600057311356,0.029407600057311356,0.029407600057311356,0.029407600057311356,0.029407600057311356,1.0096016000024974,k,0.9672931000823155,None,1.018358200090006,1.0277210000203922,1.0277210000203922,1.0277210000203922,1.0277210000203922,1.0277210000203922,1.0277210000203922,1.8067764000734314,j,0.7655244000488892,None,924888,001,2025-09-25_15h20.37.708,Priming_gender,,2025.1.1,60.10706270361948,2025-09-25 15h20.40.192400 +0700,
ศักดิ์สิทธิ์,สุนิสา,None,1,1,0,k,0.7051582999993116,None,j,0.4213026000652462,None,0,1,1,8,1.8236977000487968,,1.813714100047946,1.8236977000487968,1.8236977000487968,1.8236977000487968,1.8236977000487968,1.8236977000487968,1.8236977000487968,2.5396742000011727,k,0.7051582999993116,None,2.543064800091088,2.556992100086063,2.556992100086063,2.556992100086063,2.556992100086063,2.556992100086063,2.556992100086063,2.9898528000339866,j,0.4213026000652462,None,924888,001,2025-09-25_15h20.37.708,Priming_gender,,2025.1.1,60.10706270361948,2025-09-25 15h20.40.192400 +0700,
กฤษณะ,กาญจนา,men.png,2,2,0,k,0.7529082000255585,None,j,0.4872505000093952,None,0,2,2,0,3.0068362000165507,,2.995949700009078,3.0068362000165507,3.0068362000165507,3.0068362000165507,3.0068362000165507,3.0068362000165507,3.0068362000165507,3.7728318000445142,k,0.7529082000255585,None,3.77683500002604,3.790351100033149,3.790351100033149,3.790351100033149,3.790351100033149,3.790351100033149,3.790351100033149,4.289846500032581,j,0.4872505000093952,None,924888,001,2025-09-25_15h20.37.708,Priming_gender,,2025.1.1,60.10706270361948,2025-09-25 15h20.40.192400 +0700,
วรพล,วรรณา,None,3,3,0,k,0.49820259993430227,None,j,0.3556682999478653,None,0,3,3,7,4.306759800063446,,4.294782100012526,4.306759800063446,4.306759800063446,4.306759800063446,4.306759800063446,4.306759800063446,4.306759800063446,4.806015800102614,k,0.49820259993430227,None,4.806497900048271,4.822258800035343,4.822258800035343,4.822258800035343,4.822258800035343,4.822258800035343,4.822258800035343,5.189484000089578,j,0.3556682999478653,None,924888,001,2025-09-25_15h20.37.708,Priming_gender,,2025.1.1,60.10706270361948,2025-09-25 15h20.40.192400 +0700,
อรรถพล,สุพัตรา,None,4,4,0,k,0.40802759991493076,None,j,0.2788556000450626,None,0,4,4,3,5.210327300010249,,5.193664100021124,5.210327300010249,5.210327300010249,5.210327300010249,5.210327300010249,5.210327300010249,5.210327300010249,5.622508200001903,k,0.40802759991493076,None,5.625038400059566,5.6399704000214115,5.6399704000214115,5.6399704000214115,5.6399704000214115,5.6399704000214115,5.6399704000214115,5.9230850000167266,j,0.2788556000450626,None,924888,001,2025-09-25_15h20.37.708,Priming_gender,,2025.1.1,60.10706270361948,2025-09-25 15h20.40.192400 +0700,
ธนพล,วาสนา,None,5,5,0,k,0.36172470008023083,None,j,0.21433500002603978,None,0,5,5,2,5.939424400101416,,5.923604700015858,5.939424400101416,5.939424400101416,5.939424400101416,5.939424400101416,5.939424400101416,5.939424400101416,6.306633800035343,k,0.36172470008023083,None,6.307489400031045,6.3227578001096845,6.3227578001096845,6.3227578001096845,6.3227578001096845,6.3227578001096845,6.3227578001096845,6.5392189000267535,j,0.21433500002603978,None,924888,001,2025-09-25_15h20.37.708,Priming_gender,,2025.1.1,60.10706270361948,2025-09-25 15h20.40.192400 +0700,
ชัยวัฒน์,ศิริพร,None,6,6,0,k,0.18761840008664876,None,j,0.14578649995382875,None,0,6,6,4,6.556751500000246,,6.5441181000787765,6.556751500000246,6.556751500000246,6.556751500000246,6.556751500000246,6.556751500000246,6.556751500000246,6.756201500073075,k,0.18761840008664876,None,6.756639100029133,6.772394500090741,6.772394500090741,6.772394500090741,6.772394500090741,6.772394500090741,6.772394500090741,6.923322300077416,j,0.14578649995382875,None,924888,001,2025-09-25_15h20.37.708,Priming_gender,,2025.1.1,60.10706270361948,2025-09-25 15h20.40.192400 +0700,
ภูมิพัฒน์,จิตติมา,None,7,7,0,k,0.14839570003096014,None,j,0.12105300009716302,None,0,7,7,6,6.939706700039096,,6.926640500081703,6.939706700039096,6.939706700039096,6.939706700039096,6.939706700039096,6.939706700039096,6.939706700039096,7.089731500018388,k,0.14839570003096014,None,7.090299200033769,7.106321700033732,7.106321700033732,7.106321700033732,7.106321700033732,7.106321700033732,7.106321700033732,7.239574900013395,j,0.12105300009716302,None,924888,001,2025-09-25_15h20.37.708,Priming_gender,,2025.1.1,60.10706270361948,2025-09-25 15h20.40.192400 +0700,
ปริญญา,อาภรณ์,None,8,8,0,k,0.13253479998093098,None,j,0.09046209999360144,None,0,8,8,5,7.255777500104159,,7.240558800054714,7.255777500104159,7.255777500104159,7.255777500104159,7.255777500104159,7.255777500104159,7.255777500104159,7.389862900017761,k,0.13253479998093098,None,7.390687100007199,7.405287400004454,7.405287400004454,7.405287400004454,7.405287400004454,7.405287400004454,7.405287400004454,7.505993700004183,j,0.09046209999360144,None,924888,001,2025-09-25_15h20.37.708,Priming_gender,,2025.1.1,60.10706270361948,2025-09-25 15h20.40.192400 +0700,
นเรศ,พิมพ์ใจ,women.png,9,9,0,k,0.13662569993175566,None,j,0.05143840005621314,None,0,9,9,1,7.523429900058545,,7.5080082000931725,7.523429900058545,7.523429900058545,7.523429900058545,7.523429900058545,7.523429900058545,7.523429900058545,7.672310900059529,k,0.13662569993175566,None,7.674981200019829,7.690021200105548,7.690021200105548,7.690021200105548,7.690021200105548,7.690021200105548,7.690021200105548,7.756089500035159,j,0.05143840005621314,None,924888,001,2025-09-25_15h20.37.708,Priming_gender,,2025.1.1,60.10706270361948,2025-09-25 15h20.40.192400 +0700,
