Male,Female,Image,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block_male.started,MAN.started,WOMAN.started,Mname.started,men_pic.started,female_pic_2.started,key_resp.started,training_block_male.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,training_block_female.started,MAN_2.started,WOMAN_2.started,Fname.started,female_pic.started,men_pic_2.started,key_resp_2.started,training_block_female.stopped,training.key_resp_2.keys,training.key_resp_2.rt,training.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
ชัยวัฒน์,ศิริพร,None,0,0,0,k,6.2482332000508904,None,j,0.6256851999787614,None,0,0,0,4,0.028912700014188886,,0.022229299996979535,0.028912700014188886,0.028912700014188886,0.028912700014188886,0.028912700014188886,0.028912700014188886,0.028912700014188886,6.282426999998279,k,6.2482332000508904,None,6.2909394999733195,6.300759400008246,6.300759400008246,6.300759400008246,6.300759400008246,6.300759400008246,6.300759400008246,6.928911100025289,j,0.6256851999787614,None,239456,001,2025-09-25_15h17.13.337,Priming_gender,,2025.1.1,60.19038218505613,2025-09-25 15h17.18.745800 +0700,
วรพล,วรรณา,None,1,1,0,k,0.6632530000060797,None,j,0.8170245001092553,None,0,1,1,7,6.945944500039332,,6.932013600016944,6.945944500039332,6.945944500039332,6.945944500039332,6.945944500039332,6.945944500039332,6.945944500039332,7.612463800003752,k,0.6632530000060797,None,7.6168419000459835,7.628987699979916,7.628987699979916,7.628987699979916,7.628987699979916,7.628987699979916,7.628987699979916,8.46174209995661,j,0.8170245001092553,None,239456,001,2025-09-25_15h17.13.337,Priming_gender,,2025.1.1,60.19038218505613,2025-09-25 15h17.18.745800 +0700,
นเรศ,พิมพ์ใจ,women.png,2,2,0,k,0.8663081000559032,None,j,0.7273095999844372,None,0,2,2,1,8.47917339997366,,8.464312899974175,8.47917339997366,8.47917339997366,8.47917339997366,8.47917339997366,8.47917339997366,8.47917339997366,9.362149900058284,k,0.8663081000559032,None,9.368112500058487,9.379268200020306,9.379268200020306,9.379268200020306,9.379268200020306,9.379268200020306,9.379268200020306,10.111789499991573,j,0.7273095999844372,None,239456,001,2025-09-25_15h17.13.337,Priming_gender,,2025.1.1,60.19038218505613,2025-09-25 15h17.18.745800 +0700,
ภูมิพัฒน์,จิตติมา,None,3,3,0,k,0.6985105000203475,None,j,0.6752030000789091,None,0,3,3,6,10.129213399952278,,10.11530079995282,10.129213399952278,10.129213399952278,10.129213399952278,10.129213399952278,10.129213399952278,10.129213399952278,10.828551099984907,k,0.6985105000203475,None,10.831032500020228,10.845596799976192,10.845596799976192,10.845596799976192,10.845596799976192,10.845596799976192,10.845596799976192,11.528334000031464,j,0.6752030000789091,None,239456,001,2025-09-25_15h17.13.337,Priming_gender,,2025.1.1,60.19038218505613,2025-09-25 15h17.18.745800 +0700,
กฤษณะ,กาญจนา,men.png,4,4,0,k,0.4979749999474734,None,j,0.5916502999607474,None,0,4,4,0,11.545440800022334,,11.535133600002155,11.545440800022334,11.545440800022334,11.545440800022334,11.545440800022334,11.545440800022334,11.545440800022334,12.044745499966666,k,0.4979749999474734,None,12.048050299985334,12.062368800048716,12.062368800048716,12.062368800048716,12.062368800048716,12.062368800048716,12.062368800048716,12.661559200030752,j,0.5916502999607474,None,239456,001,2025-09-25_15h17.13.337,Priming_gender,,2025.1.1,60.19038218505613,2025-09-25 15h17.18.745800 +0700,
ปริญญา,อาภรณ์,None,5,5,0,k,1.054897499969229,None,j,0.5951858999906108,None,0,5,5,5,12.678611799958162,,12.665416299947537,12.678611799958162,12.678611799958162,12.678611799958162,12.678611799958162,12.678611799958162,12.678611799958162,13.745716899982654,k,1.054897499969229,None,13.748779400018975,13.761888299952261,13.761888299952261,13.761888299952261,13.761888299952261,13.761888299952261,13.761888299952261,14.362068200018257,j,0.5951858999906108,None,239456,001,2025-09-25_15h17.13.337,Priming_gender,,2025.1.1,60.19038218505613,2025-09-25 15h17.18.745800 +0700,
อรรถพล,สุพัตรา,None,6,6,0,k,1.2057391999987885,None,j,0.5337337999371812,None,0,6,6,3,14.379141899989918,,14.364736699964851,14.379141899989918,14.379141899989918,14.379141899989918,14.379141899989918,14.379141899989918,14.379141899989918,15.595829600002617,k,1.2057391999987885,None,15.599947600043379,15.61216619994957,15.61216619994957,15.61216619994957,15.61216619994957,15.61216619994957,15.61216619994957,16.161787700024433,j,0.5337337999371812,None,239456,001,2025-09-25_15h17.13.337,Priming_gender,,2025.1.1,60.19038218505613,2025-09-25 15h17.18.745800 +0700,
ธนพล,วาสนา,None,7,7,0,k,1.150127499946393,None,j,3.1071833000751212,None,0,7,7,2,16.179070599959232,,16.164325100020505,16.179070599959232,16.179070599959232,16.179070599959232,16.179070599959232,16.179070599959232,16.179070599959232,17.344467899994925,k,1.150127499946393,None,17.3453016000567,17.360680900048465,17.360680900048465,17.360680900048465,17.360680900048465,17.360680900048465,17.360680900048465,20.47861330001615,j,3.1071833000751212,None,239456,001,2025-09-25_15h17.13.337,Priming_gender,,2025.1.1,60.19038218505613,2025-09-25 15h17.18.745800 +0700,
ศักดิ์สิทธิ์,สุนิสา,None,8,8,0,k,1.2928068999899551,None,j,2.489083099993877,None,0,8,8,8,20.495311700040475,,20.48280260001775,20.495311700040475,20.495311700040475,20.495311700040475,20.495311700040475,20.495311700040475,20.495311700040475,21.79438370000571,k,1.2928068999899551,None,21.795159799978137,21.810733000049368,21.810733000049368,21.810733000049368,21.810733000049368,21.810733000049368,21.810733000049368,24.311789999948815,j,2.489083099993877,None,239456,001,2025-09-25_15h17.13.337,Priming_gender,,2025.1.1,60.19038218505613,2025-09-25 15h17.18.745800 +0700,
พิสิฐ,ปัทมา,None,9,9,0,k,0.6419231999898329,None,j,2.285548700019717,None,0,9,9,9,24.328211599960923,,24.314913699985482,24.328211599960923,24.328211599960923,24.328211599960923,24.328211599960923,24.328211599960923,24.328211599960923,24.977223200025037,k,0.6419231999898329,None,24.978080700035207,24.99416859995108,24.99416859995108,24.99416859995108,24.99416859995108,24.99416859995108,24.99416859995108,27.293741400004365,j,2.285548700019717,None,239456,001,2025-09-25_15h17.13.337,Priming_gender,,2025.1.1,60.19038218505613,2025-09-25 15h17.18.745800 +0700,
