Male,Female,Image,Name,ImagePriming,NamePriming,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,0,0,0,k,1.1183942999923602,None,0,0,0,1,0.03607150004245341,,0.02952420001383871,0.03607150004245341,0.03607150004245341,0.03607150004245341,0.03607150004245341,1.1596334000350907,k,1.1183942999923602,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,1,1,0,j,0.4374174999538809,None,0,1,1,0,1.1845260000554845,,1.17806509998627,1.1845260000554845,1.1845260000554845,1.1845260000554845,1.1845260000554845,1.625148499966599,j,0.4374174999538809,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,2,2,1,j,0.18157519993837923,None,1,2,2,1,1.6484114000340924,,1.6424780000234023,1.6484114000340924,1.6484114000340924,1.6484114000340924,1.6484114000340924,1.841787499957718,j,0.18157519993837923,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,3,3,1,j,0.1534598000580445,None,1,3,3,0,1.8670345999998972,,1.8613192000193521,1.8670345999998972,1.8670345999998972,1.8670345999998972,1.8670345999998972,2.0246709999628365,j,0.1534598000580445,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,4,4,2,j,0.16918959992472082,None,2,4,4,0,2.0499900999711826,,2.0436868000542745,2.0499900999711826,2.0499900999711826,2.0499900999711826,2.0499900999711826,2.22454760002438,j,0.16918959992472082,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,5,5,2,j,0.2655448999721557,None,2,5,5,1,2.250047600013204,,2.2435061000287533,2.250047600013204,2.250047600013204,2.250047600013204,2.250047600013204,2.5251810000045225,j,0.2655448999721557,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,6,6,3,j,0.17635309998877347,None,3,6,6,1,2.5503185000270605,,2.544163699960336,2.5503185000270605,2.5503185000270605,2.5503185000270605,2.5503185000270605,2.7419038000516593,j,0.17635309998877347,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,7,7,3,j,0.22545540006831288,None,3,7,7,0,2.7666230000322685,,2.7603732000570744,2.7666230000322685,2.7666230000322685,2.7666230000322685,2.7666230000322685,3.008572999970056,j,0.22545540006831288,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,8,8,4,j,0.18990220001433045,None,4,8,8,1,3.0334509999956936,,3.0279424999607727,3.0334509999956936,3.0334509999956936,3.0334509999956936,3.0334509999956936,3.2244366999948397,j,0.18990220001433045,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,9,9,5,k,0.18641770002432168,None,5,9,9,1,3.249028700054623,,3.2432281000074,3.249028700054623,3.249028700054623,3.249028700054623,3.249028700054623,3.440547800040804,k,0.18641770002432168,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,10,4,k,0.1605883000884205,None,4,10,10,0,3.4652564000571147,,3.4589404000435024,3.4652564000571147,3.4652564000571147,3.4652564000571147,3.4652564000571147,3.641759100020863,k,0.1605883000884205,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,11,11,5,k,0.09984189993701875,None,5,11,11,0,3.6676960999611765,,3.6608765999553725,3.6676960999611765,3.6676960999611765,3.6676960999611765,3.6676960999611765,3.774446600000374,k,0.09984189993701875,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,12,12,6,k,0.13589829998090863,None,6,12,12,1,3.7986254000570625,,3.7931218000594527,3.7986254000570625,3.7986254000570625,3.7986254000570625,3.7986254000570625,3.940479399985634,k,0.13589829998090863,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,13,13,7,k,0.12555060000158846,None,7,13,13,1,3.963822599966079,,3.9590012000408024,3.963822599966079,3.963822599966079,3.963822599966079,3.963822599966079,4.090617300011218,k,0.12555060000158846,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,14,14,6,j,0.24812619993463159,None,6,14,14,0,4.1141196000389755,,4.10933390003629,4.1141196000389755,4.1141196000389755,4.1141196000389755,4.1141196000389755,4.374521099962294,j,0.24812619993463159,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,15,15,8,k,0.30710169998928905,None,8,15,15,1,4.398684100015089,,4.393343499978073,4.398684100015089,4.398684100015089,4.398684100015089,4.398684100015089,4.707087100017816,k,0.30710169998928905,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,16,16,7,k,0.2165847000433132,None,7,16,16,0,4.731372499954887,,4.72582179994788,4.731372499954887,4.731372499954887,4.731372499954887,4.731372499954887,4.956986399949528,k,0.2165847000433132,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,17,17,9,k,0.16706110001541674,None,9,17,17,1,4.9807809999911115,,4.975823899963871,4.9807809999911115,4.9807809999911115,4.9807809999911115,4.9807809999911115,5.157242399989627,k,0.16706110001541674,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,18,18,8,k,0.10030839999672025,None,8,18,18,0,5.182121700025164,,5.177079700049944,5.182121700025164,5.182121700025164,5.182121700025164,5.182121700025164,5.2908979000058025,k,0.10030839999672025,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,19,19,9,k,0.1360528999939561,None,9,19,19,0,5.316323800012469,,5.311419700039551,5.316323800012469,5.316323800012469,5.316323800012469,5.316323800012469,5.457059900043532,k,0.1360528999939561,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,20,20,10,j,0.18244360003154725,None,10,20,20,0,5.481201100046746,,5.47624500002712,5.481201100046746,5.481201100046746,5.481201100046746,5.481201100046746,5.674357400042936,j,0.18244360003154725,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,21,21,11,k,0.7642624999862164,None,11,21,21,0,5.699093300034292,,5.693865200038999,5.699093300034292,5.699093300034292,5.699093300034292,5.699093300034292,6.474009500001557,k,0.7642624999862164,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,22,22,12,k,0.4899457999272272,None,12,22,22,0,6.500787500059232,,6.496065199957229,6.500787500059232,6.500787500059232,6.500787500059232,6.500787500059232,7.006992100039497,k,0.4899457999272272,None,465780,001,2025-09-25_16h45.59.139,Priming_gender,,2025.1.1,59.82707582661051,2025-09-25 16h46.02.227585 +0700,
