Male,Female,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block_male.started,MAN.started,WOMAN.started,Mname.started,key_resp.started,training_block_male.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,training_block_female.started,MAN_2.started,WOMAN_2.started,Fname.started,key_resp_2.started,training_block_female.stopped,training.key_resp_2.keys,training.key_resp_2.rt,training.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
นเรศ,พิมพ์ใจ,0,0,0,j,0.9484780998900533,None,k,0.14176249993033707,None,0,0,0,1,0.02315180003643036,,0.01736900000832975,0.02315180003643036,0.02315180003643036,0.02315180003643036,0.02315180003643036,0.9840499000856653,j,0.9484780998900533,None,1.0019322000443935,1.0098799000261351,1.0098799000261351,1.0098799000261351,1.0098799000261351,1.1652481000637636,k,0.14176249993033707,None,556596,001,2025-09-25_14h58.51.759,Priming_gender,,2025.1.1,60.42909492037011,2025-09-25 14h58.54.026931 +0700,
ปริญญา,อาภรณ์,1,1,0,k,0.1677377000451088,None,k,0.13623539998661727,None,0,1,1,5,1.1814454999985173,,1.1720455000177026,1.1814454999985173,1.1814454999985173,1.1814454999985173,1.1814454999985173,1.3650759999873117,k,0.1677377000451088,None,1.3703892000485212,1.3814259000355378,1.3814259000355378,1.3814259000355378,1.3814259000355378,1.530553700053133,k,0.13623539998661727,None,556596,001,2025-09-25_14h58.51.759,Priming_gender,,2025.1.1,60.42909492037011,2025-09-25 14h58.54.026931 +0700,
กฤษณะ,กาญจนา,2,2,0,j,0.12978009996004403,None,k,0.19253380002919585,None,0,2,2,0,1.547737600049004,,1.538916900055483,1.547737600049004,1.547737600049004,1.547737600049004,1.547737600049004,1.6807897000107914,j,0.12978009996004403,None,1.6813806000864133,1.6969243000494316,1.6969243000494316,1.6969243000494316,1.6969243000494316,1.8976968000642955,k,0.19253380002919585,None,556596,001,2025-09-25_14h58.51.759,Priming_gender,,2025.1.1,60.42909492037011,2025-09-25 14h58.54.026931 +0700,
ชัยวัฒน์,ศิริพร,3,3,0,j,0.14096440002322197,None,k,0.16279329999815673,None,0,3,3,4,1.9143324000760913,,1.9050436000106856,1.9143324000760913,1.9143324000760913,1.9143324000760913,1.9143324000760913,2.064155300031416,j,0.14096440002322197,None,2.0646166000515223,2.080161300022155,2.080161300022155,2.080161300022155,2.080161300022155,2.2472255000611767,k,0.16279329999815673,None,556596,001,2025-09-25_14h58.51.759,Priming_gender,,2025.1.1,60.42909492037011,2025-09-25 14h58.54.026931 +0700,
ศักดิ์สิทธิ์,สุนิสา,4,4,0,k,0.12415259995032102,None,k,0.10523160011507571,None,0,4,4,8,2.2644577000755817,,2.2544443000806496,2.2644577000755817,2.2644577000755817,2.2644577000755817,2.2644577000755817,2.397181300097145,k,0.12415259995032102,None,2.399890700005926,2.414341500028968,2.414341500028968,2.414341500028968,2.414341500028968,2.5297003000741825,k,0.10523160011507571,None,556596,001,2025-09-25_14h58.51.759,Priming_gender,,2025.1.1,60.42909492037011,2025-09-25 14h58.54.026931 +0700,
อรรถพล,สุพัตรา,5,5,0,k,0.090592100052163,None,j,0.059751000022515655,None,0,5,5,3,2.547410300001502,,2.5334747000597417,2.547410300001502,2.547410300001502,2.547410300001502,2.547410300001502,2.6473091000225395,k,0.090592100052163,None,2.6505960000213236,2.664301500073634,2.664301500073634,2.664301500073634,2.664301500073634,2.730534400092438,j,0.059751000022515655,None,556596,001,2025-09-25_14h58.51.759,Priming_gender,,2025.1.1,60.42909492037011,2025-09-25 14h58.54.026931 +0700,
ธนพล,วาสนา,6,6,0,k,0.1342319999821484,None,j,0.07334220001939684,None,0,6,6,2,2.7466260000364855,,2.731337200035341,2.7466260000364855,2.7466260000364855,2.7466260000364855,2.7466260000364855,2.897256400086917,k,0.1342319999821484,None,2.8980760000413284,2.913274700054899,2.913274700054899,2.913274700054899,2.913274700054899,2.9969784000422806,j,0.07334220001939684,None,556596,001,2025-09-25_14h58.51.759,Priming_gender,,2025.1.1,60.42909492037011,2025-09-25 14h58.54.026931 +0700,
วรพล,วรรณา,7,7,0,k,0.08760289999190718,None,j,0.04634470003657043,None,0,7,7,7,3.0136111000319943,,2.9974960000254214,3.0136111000319943,3.0136111000319943,3.0136111000319943,3.0136111000319943,3.1142739000497386,k,0.08760289999190718,None,3.1150348000228405,3.12995289999526,3.12995289999526,3.12995289999526,3.12995289999526,3.1804308000719175,j,0.04634470003657043,None,556596,001,2025-09-25_14h58.51.759,Priming_gender,,2025.1.1,60.42909492037011,2025-09-25 14h58.54.026931 +0700,
ภูมิพัฒน์,จิตติมา,8,8,0,k,0.08397789997979999,None,j,0.046142400009557605,None,0,8,8,6,3.197654900024645,,3.1829208000563085,3.197654900024645,3.197654900024645,3.197654900024645,3.197654900024645,3.2973330999957398,k,0.08397789997979999,None,3.2978023000760004,3.31352850003168,3.31352850003168,3.31352850003168,3.31352850003168,3.364091500057839,j,0.046142400009557605,None,556596,001,2025-09-25_14h58.51.759,Priming_gender,,2025.1.1,60.42909492037011,2025-09-25 14h58.54.026931 +0700,
พิสิฐ,ปัทมา,9,9,0,k,0.08076529996469617,None,j,0.06590119993779808,None,0,9,9,9,3.380990800098516,,3.3671826000791043,3.380990800098516,3.380990800098516,3.380990800098516,3.380990800098516,3.463797500007786,k,0.08076529996469617,None,3.464523500064388,3.4797522000735626,3.4797522000735626,3.4797522000735626,3.4797522000735626,3.5482155000790954,j,0.06590119993779808,None,556596,001,2025-09-25_14h58.51.759,Priming_gender,,2025.1.1,60.42909492037011,2025-09-25 14h58.54.026931 +0700,
