thisRow.t,notes,Name,Face,NameGender,ResponseKey,RT,Timeout,participant,session,
,,ทับทิม,face2_m.png,f,k,0.10043489999952726,No,Pilot03,002,
,,สมหมาย,face10_w.png,m,j,0.03336770000169054,No,Pilot03,002,
,,ชูศักดิ์,face4_m.png,m,j,0.48394639999605715,No,Pilot03,002,
,,สายใจ,face7_w.png,f,k,0.3660395999904722,No,Pilot03,002,
,,บุญชู,face4_m.png,m,j,0.21886979998089373,No,Pilot03,002,
,,พิกุล,face6_m.png,f,k,0.6836882999923546,No,Pilot03,002,
,,แก้วตา,face9_w.png,f,k,0.23346349998610094,No,Pilot03,002,
,,วันเพ็ญ,face7_w.png,f,k,0.21700720000080764,No,Pilot03,002,
,,พิกุล,face6_w.png,f,k,0.03350320001482032,No,Pilot03,002,
,,วันเพ็ญ,face9_m.png,f,k,0.016936699976213276,No,Pilot03,002,
,,ชูศักดิ์,face2_m.png,m,j,0.15069389998097904,No,Pilot03,002,
,,มั่นคง,face5_w.png,m,j,0.08395329999621026,No,Pilot03,002,
,,ทับทิม,face10_w.png,f,k,0.15014499999233522,No,Pilot03,002,
,,บุญชู,face2_w.png,m,j,0.6338548999920022,No,Pilot03,002,
,,ดวงแก้ว,face3_m.png,f,k,0.1338333000021521,No,Pilot03,002,
,,สมหมาย,face5_w.png,m,j,0.3170502000139095,No,Pilot03,002,
,,พอใจ,face8_w.png,f,k,0.7667813999869395,No,Pilot03,002,
,,มั่นคง,face4_w.png,m,j,0.2675814999965951,No,Pilot03,002,
,,ทองดี,face9_w.png,m,j,0.11698489999980666,No,Pilot03,002,
,,วันเพ็ญ,face8_w.png,f,k,0.1001162999891676,No,Pilot03,002,
,,ทับทิม,face2_w.png,f,j,0.13389379999716766,No,Pilot03,002,
,,บุญชู,face5_m.png,m,j,0.4508573999919463,No,Pilot03,002,
,,ชูศักดิ์,face10_w.png,m,j,0.05003969999961555,No,Pilot03,002,
,,วันเพ็ญ,face10_w.png,f,j,0.13455690001137555,No,Pilot03,002,
,,ใบเฟิร์น,face9_m.png,f,k,0.5504994999791961,No,Pilot03,002,
,,พอใจ,face2_m.png,f,k,0.083996000001207,No,Pilot03,002,
,,สมหมาย,face7_w.png,m,j,0.2336205999890808,No,Pilot03,002,
,,ประเสริฐ,face4_m.png,m,j,0.3666774000157602,No,Pilot03,002,
,,สมหญิง,face6_m.png,f,k,0.13358200000948273,No,Pilot03,002,
,,มั่นคง,face7_m.png,m,j,0.05032460001530126,No,Pilot03,002,
,,บุญชู,face4_w.png,m,j,0.10080200000084005,No,Pilot03,002,
,,สายใจ,face6_m.png,f,k,0.41698680000263266,No,Pilot03,002,
,,ใบเฟิร์น,face4_m.png,f,k,0.43347519999952056,No,Pilot03,002,
,,แก้วตา,face6_m.png,f,k,0.21671760000754148,No,Pilot03,002,
,,ดวงแก้ว,face4_w.png,f,k,0.15006660000653937,No,Pilot03,002,
,,ทับทิม,face9_w.png,f,k,0.38375740000628866,No,Pilot03,002,
,,แก้วตา,face6_w.png,f,k,0.05036419999669306,No,Pilot03,002,
,,แก้วตา,face1_m.png,f,k,0.00517519999993965,No,Pilot03,002,
,,แก้วตา,face1_w.png,f,k,None,Yes,Pilot03,002,
,,แก้วตา,face7_m.png,f,k,None,Yes,Pilot03,002,
,,แก้วตา,face4_m.png,f,k,0.2668231000134256,No,Pilot03,002,
,,พอใจ,face7_m.png,f,k,0.05038369999965653,No,Pilot03,002,
