Male,Female,Image,Name,ImagePriming,NamePriming,ImageTrig,NameTrig,Trig,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.07255669997539371,0.09372919995803386,0.09372919995803386,1.3466628999449313,space,1.245712700067088,None,,,,,,,,,,,,,,,,,677821,001,2025-09-26_05h41.35.958,Priming_gender,,2025.1.1,59.96196012206387,2025-09-26 05h41.38.618564 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,0,0,0,j,0.30503539997152984,None,0,0,0,1,,,,,1.3770812000147998,,,,,,,,,1.3674629000015557,1.3770812000147998,1.3770812000147998,1.3770812000147998,1.3770812000147998,1.694063000031747,j,0.30503539997152984,None,,,,,,,,677821,001,2025-09-26_05h41.35.958,Priming_gender,,2025.1.1,59.96196012206387,2025-09-26 05h41.38.618564 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,1,1,1,k,0.32256389991380274,None,1,1,1,1,,,,,1.7271864999784157,,,,,,,,,1.707107099937275,1.7271864999784157,1.7271864999784157,1.7271864999784157,1.7271864999784157,2.061281400034204,k,0.32256389991380274,None,,,,,,,,677821,001,2025-09-26_05h41.35.958,Priming_gender,,2025.1.1,59.96196012206387,2025-09-26 05h41.38.618564 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,2,2,0,j,0.03082039998844266,None,0,2,2,0,,,,,2.093703299993649,,,,,,,,,2.074538499931805,2.093703299993649,2.093703299993649,2.093703299993649,2.093703299993649,2.127435600035824,j,0.03082039998844266,None,,,,,,,,677821,001,2025-09-26_05h41.35.958,Priming_gender,,2025.1.1,59.96196012206387,2025-09-26 05h41.38.618564 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,3,3,2,k,0.08404190000146627,None,2,3,3,1,,,,,2.1607039000373334,,,,,,,,,2.141058800043538,2.1607039000373334,2.1607039000373334,2.1607039000373334,2.1607039000373334,2.2606313000433147,k,0.08404190000146627,None,,,,,,,,677821,001,2025-09-26_05h41.35.958,Priming_gender,,2025.1.1,59.96196012206387,2025-09-26 05h41.38.618564 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,4,4,1,j,0.04262620001100004,None,1,4,4,0,,,,,2.2769883000291884,,,,,,,,,2.273522099945694,2.2769883000291884,2.2769883000291884,2.2769883000291884,2.2769883000291884,2.327679199981503,j,0.04262620001100004,None,,,,,,,,677821,001,2025-09-26_05h41.35.958,Priming_gender,,2025.1.1,59.96196012206387,2025-09-26 05h41.38.618564 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,5,5,3,k,0.056390599929727614,None,3,5,5,1,,,,,2.3605493999784812,,,,,,,,,2.3411635999800637,2.3605493999784812,2.3605493999784812,2.3605493999784812,2.3605493999784812,2.4273984000319615,k,0.056390599929727614,None,,,,,,,,677821,001,2025-09-26_05h41.35.958,Priming_gender,,2025.1.1,59.96196012206387,2025-09-26 05h41.38.618564 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,6,6,4,j,0.001640699920244515,None,4,6,6,1,,,,,2.4604899999685585,,,,,,,,,2.4407851999858394,2.4604899999685585,2.4604899999685585,2.4604899999685585,2.4604899999685585,2.4773287000134587,j,0.001640699920244515,None,,,,,,,,677821,001,2025-09-26_05h41.35.958,Priming_gender,,2025.1.1,59.96196012206387,2025-09-26 05h41.38.618564 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,7,7,2,k,0.04878630000166595,None,2,7,7,0,,,,,2.510480299941264,,,,,,,,,2.4905606999527663,2.510480299941264,2.510480299941264,2.510480299941264,2.510480299941264,2.5607478000456467,k,0.04878630000166595,None,,,,,,,,677821,001,2025-09-26_05h41.35.958,Priming_gender,,2025.1.1,59.96196012206387,2025-09-26 05h41.38.618564 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,8,8,5,j,0.025282699964009225,None,5,8,8,1,,,,,2.593787599937059,,,,,,,,,2.574366300017573,2.593787599937059,2.593787599937059,2.593787599937059,2.593787599937059,2.6274710999568924,j,0.025282699964009225,None,,,,,,,,677821,001,2025-09-26_05h41.35.958,Priming_gender,,2025.1.1,59.96196012206387,2025-09-26 05h41.38.618564 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,9,9,6,k,0.03431809996254742,None,6,9,9,1,,,,,2.66053680004552,,,,,,,,,2.6403782999841496,2.66053680004552,2.66053680004552,2.66053680004552,2.66053680004552,2.7107378999935463,k,0.03431809996254742,None,,,,,,,,677821,001,2025-09-26_05h41.35.958,Priming_gender,,2025.1.1,59.96196012206387,2025-09-26 05h41.38.618564 +0700,
