Male,Female,Image,Name,ImagePriming,NamePriming,ImageTrig,NameTrig,Trig,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,MAN_3_desc.started,WOMAN_3.started,WOMAN_3_desc.started,name_2.started,pic_2.started,key_resp_3.started,name_2.stopped,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009397100075148046,0.022977899992838502,0.022977899992838502,0.9790220999857411,space,0.9487054999917746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115790,001,2025-09-26_10h21.12.821,Priming_gender,,2025.1.1,60.12762689268782,2025-09-26 10h21.18.887659 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,0,0,0,j,0.6059746999526396,None,,,,0,0,0,0,,,,,1.0289598000235856,,,,,,,,,1.0189965000608936,1.0289598000235856,1.0289598000235856,1.0289598000235856,1.0289598000235856,1.6405083000427112,j,0.6059746999526396,None,,,,,,,,,,,,,,,,,,,,,115790,001,2025-09-26_10h21.12.821,Priming_gender,,2025.1.1,60.12762689268782,2025-09-26 10h21.18.887659 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,1,1,0,k,0.10625840001739562,None,,,,0,1,1,1,,,,,1.6778145000571385,,,,,,,,,1.6691074999980628,1.6778145000571385,1.6778145000571385,1.6778145000571385,1.6778145000571385,1.7905625000130385,k,0.10625840001739562,None,,,,,,,,,,,,,,,,,,,,,115790,001,2025-09-26_10h21.12.821,Priming_gender,,2025.1.1,60.12762689268782,2025-09-26 10h21.18.887659 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,2,2,1,j,0.20474439999088645,None,,,,1,2,2,0,,,,,1.8279084000969306,,,,,,,,,1.819262000033632,1.8279084000969306,1.8279084000969306,1.8279084000969306,1.8279084000969306,2.0398964000632986,j,0.20474439999088645,None,,,,,,,,,,,,,,,,,,,,,115790,001,2025-09-26_10h21.12.821,Priming_gender,,2025.1.1,60.12762689268782,2025-09-26 10h21.18.887659 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,3,3,1,k,0.1384940999560058,None,,,,1,3,3,1,,,,,2.0779980000806972,,,,,,,,,2.0688703000778332,2.0779980000806972,2.0779980000806972,2.0779980000806972,2.0779980000806972,2.2237688000313938,k,0.1384940999560058,None,,,,,,,,,,,,,,,,,,,,,115790,001,2025-09-26_10h21.12.821,Priming_gender,,2025.1.1,60.12762689268782,2025-09-26 10h21.18.887659 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,4,4,2,j,0.14920049998909235,None,,,,2,4,4,0,,,,,2.2594609000952914,,,,,,,,,2.251163400011137,2.2594609000952914,2.2594609000952914,2.2594609000952914,2.2594609000952914,2.4234313000924885,j,0.14920049998909235,None,,,,,,,,,,,,,,,,,,,,,115790,001,2025-09-26_10h21.12.821,Priming_gender,,2025.1.1,60.12762689268782,2025-09-26 10h21.18.887659 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,5,5,2,k,0.09998290007933974,None,,,,2,5,5,1,,,,,2.459673900040798,,,,,,,,,2.4516482000472024,2.459673900040798,2.459673900040798,2.459673900040798,2.459673900040798,2.5742230000905693,k,0.09998290007933974,None,,,,,,,,,,,,,,,,,,,,,115790,001,2025-09-26_10h21.12.821,Priming_gender,,2025.1.1,60.12762689268782,2025-09-26 10h21.18.887659 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,6,6,3,j,0.12476609996519983,None,,,,3,6,6,0,,,,,2.6112151000415906,,,,,,,,,2.6028071000473574,2.6112151000415906,2.6112151000415906,2.6112151000415906,2.6112151000415906,2.739680700004101,j,0.12476609996519983,None,,,,,,,,,,,,,,,,,,,,,115790,001,2025-09-26_10h21.12.821,Priming_gender,,2025.1.1,60.12762689268782,2025-09-26 10h21.18.887659 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,7,7,3,k,0.05163280002307147,None,,,,3,7,7,1,,,,,2.7759749999968335,,,,,,,,,2.767704700003378,2.7759749999968335,2.7759749999968335,2.7759749999968335,2.7759749999968335,2.839886200032197,k,0.05163280002307147,None,,,,,,,,,,,,,,,,,,,,,115790,001,2025-09-26_10h21.12.821,Priming_gender,,2025.1.1,60.12762689268782,2025-09-26 10h21.18.887659 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,8,8,4,j,0.05213329999241978,None,,,,4,8,8,0,,,,,2.8773246000055224,,,,,,,,,2.8691021000267938,2.8773246000055224,2.8773246000055224,2.8773246000055224,2.8773246000055224,2.9398743000347167,j,0.05213329999241978,None,,,,,,,,,,,,,,,,,,,,,115790,001,2025-09-26_10h21.12.821,Priming_gender,,2025.1.1,60.12762689268782,2025-09-26 10h21.18.887659 +0700,
