Male,Female,Image,Name,ImagePriming,NamePriming,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,MAN_3_desc.started,WOMAN_3.started,name_2.started,key_resp_3.started,pic_2.started,name_2.stopped,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.07606589992064983,0.09391099994536489,0.09391099994536489,1.6637630999321118,space,1.560449599986896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690624,001,2025-09-26_05h07.03.651,Priming_gender,,2025.1.1,60.06359534351802,2025-09-26 05h07.06.809918 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,0,0,0,k,0.7011037999764085,None,,,,0,0,0,1,,,,,1.693914399947971,,,,,,,,,1.6865461999550462,1.693914399947971,1.693914399947971,1.693914399947971,1.693914399947971,2.411036599893123,k,0.7011037999764085,None,,,,,,,,,,,,,,,,,,,,690624,001,2025-09-26_05h07.03.651,Priming_gender,,2025.1.1,60.06359534351802,2025-09-26 05h07.06.809918 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,1,1,0,j,0.04759700002614409,None,,,,0,1,1,0,,,,,2.4442842999706045,,,,,,,,,2.4260465999832377,2.4442842999706045,2.4442842999706045,2.4442842999706045,2.4442842999706045,2.4941576999844983,j,0.04759700002614409,None,,,,,,,,,,,,,,,,,,,,690624,001,2025-09-26_05h07.03.651,Priming_gender,,2025.1.1,60.06359534351802,2025-09-26 05h07.06.809918 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,2,2,1,k,0.07699139998294413,None,,,,1,2,2,1,,,,,2.5275392999174073,,,,,,,,,2.5092764999717474,2.5275392999174073,2.5275392999174073,2.5275392999174073,2.5275392999174073,2.6110283999005333,k,0.07699139998294413,None,,,,,,,,,,,,,,,,,,,,690624,001,2025-09-26_05h07.03.651,Priming_gender,,2025.1.1,60.06359534351802,2025-09-26 05h07.06.809918 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,3,3,2,j,0.03575679997447878,None,,,,2,3,3,1,,,,,2.6438578999368474,,,,,,,,,2.626828599954024,2.6438578999368474,2.6438578999368474,2.6438578999368474,2.6438578999368474,2.69417929998599,j,0.03575679997447878,None,,,,,,,,,,,,,,,,,,,,690624,001,2025-09-26_05h07.03.651,Priming_gender,,2025.1.1,60.06359534351802,2025-09-26 05h07.06.809918 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,4,4,1,k,0.012232500012032688,None,,,,1,4,4,0,,,,,2.7274433999555185,,,,,,,,,2.70909259992186,2.7274433999555185,2.7274433999555185,2.7274433999555185,2.7274433999555185,2.744172599981539,k,0.012232500012032688,None,,,,,,,,,,,,,,,,,,,,690624,001,2025-09-26_05h07.03.651,Priming_gender,,2025.1.1,60.06359534351802,2025-09-26 05h07.06.809918 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,5,5,3,j,0.03004390001296997,None,,,,3,5,5,1,,,,,2.777252299943939,,,,,,,,,2.759133599931374,2.777252299943939,2.777252299943939,2.777252299943939,2.777252299943939,2.810845599975437,j,0.03004390001296997,None,,,,,,,,,,,,,,,,,,,,690624,001,2025-09-26_05h07.03.651,Priming_gender,,2025.1.1,60.06359534351802,2025-09-26 05h07.06.809918 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,6,6,4,k,0.05310790007933974,None,,,,4,6,6,1,,,,,2.843996199895628,,,,,,,,,2.8264409999828786,2.843996199895628,2.843996199895628,2.843996199895628,2.843996199895628,2.9107634999090806,k,0.05310790007933974,None,,,,,,,,,,,,,,,,,,,,690624,001,2025-09-26_05h07.03.651,Priming_gender,,2025.1.1,60.06359534351802,2025-09-26 05h07.06.809918 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,7,7,2,j,0.012418500031344593,None,,,,2,7,7,0,,,,,2.9444263000041246,,,,,,,,,2.926215499988757,2.9444263000041246,2.9444263000041246,2.9444263000041246,2.9444263000041246,2.960902899969369,j,0.012418500031344593,None,,,,,,,,,,,,,,,,,,,,690624,001,2025-09-26_05h07.03.651,Priming_gender,,2025.1.1,60.06359534351802,2025-09-26 05h07.06.809918 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,8,8,3,k,0.0454230000032112,None,,,,3,8,8,0,,,,,2.994042699923739,,,,,,,,,2.9759602999547496,2.994042699923739,2.994042699923739,2.994042699923739,2.994042699923739,3.044179599964991,k,0.0454230000032112,None,,,,,,,,,,,,,,,,,,,,690624,001,2025-09-26_05h07.03.651,Priming_gender,,2025.1.1,60.06359534351802,2025-09-26 05h07.06.809918 +0700,
